j1,j2,j3,j4,j5,j6
-33.393502,93.275905,86.478712,-89.755038,-90.000002,-75.393978
-33.391134,93.186849,86.571074,-89.758336,-89.999991,-75.391721
-33.383327,92.919255,86.849565,-89.769265,-90.000035,-75.383482
-33.371276,92.473703,87.313554,-89.787797,-90.000159,-75.370188
-33.360569,91.853212,87.956363,-89.810113,-90.000156,-75.359505
-33.357029,91.060997,88.770750,-89.832022,-89.999813,-75.359411
-33.362316,90.100333,89.746394,-89.846629,-89.999326,-75.369568
-33.372763,88.974572,90.869033,-89.843585,-89.999426,-75.379013
-33.384704,87.686934,92.123588,-89.811411,-90.000645,-75.378725
-33.392599,86.237468,93.481646,-89.719078,-90.000088,-75.391796
-33.342432,84.626592,94.922464,-89.552540,-90.005536,-75.283170
-33.213892,82.854079,96.444324,-89.311718,-90.019215,-74.997875
-32.969097,80.929063,98.042791,-89.001608,-90.041520,-74.526223
-32.565450,78.858495,99.713683,-88.624721,-90.072109,-73.830074
-31.960038,76.640023,101.455180,-88.175013,-90.108522,-72.796768
-31.109901,74.269876,103.265821,-87.645140,-90.147973,-71.302290
-29.972077,71.744287,105.144145,-87.027755,-90.187678,-69.222625
-28.504202,69.059723,107.088597,-86.315682,-90.224881,-66.435499
-26.688187,66.222392,109.093810,-85.508549,-90.257991,-62.889589
-24.538136,63.251413,111.149362,-84.615014,-90.286960,-58.627642
-22.070369,60.166794,113.244482,-83.644357,-90.311848,-53.698891
-19.301206,56.988542,115.368402,-82.605855,-90.332713,-48.152565
-16.246967,53.736666,117.510349,-81.508789,-90.349615,-42.037895
-12.923973,50.431175,119.659554,-80.362437,-90.362614,-35.404111
-9.348544,47.092077,121.805247,-79.176078,-90.371767,-28.300445
-5.537000,43.739379,123.936657,-77.958992,-90.377135,-20.776128
-1.505662,40.393090,126.043013,-76.720458,-90.378776,-12.880388
2.729149,37.073219,128.113547,-75.469754,-90.376750,-4.662459
7.151115,33.799773,130.137487,-74.216160,-90.371116,3.828431
11.743913,30.592760,132.104062,-72.968955,-90.361933,12.543050
16.491214,27.472186,134.002506,-71.737416,-90.349261,21.432157
21.371143,24.456222,135.823265,-70.530284,-90.333261,30.440999
26.347215,21.558204,137.559995,-69.354878,-90.314370,39.500300
31.380567,18.790685,139.206870,-68.218284,-90.293066,48.538418
36.432336,16.166216,140.758066,-67.127592,-90.269830,57.483710
41.463660,13.697348,142.207758,-66.089890,-90.245140,66.264536
46.435675,11.396633,143.550122,-65.112265,-90.219477,74.809253
51.309518,9.276621,144.779333,-64.201805,-90.193319,83.046220
56.046327,7.349864,145.889566,-63.365598,-90.167146,90.903795
60.607238,5.628914,146.874998,-62.610733,-90.141438,98.310336
64.953389,4.126320,147.729803,-61.944298,-90.116674,105.194201
69.045916,2.854636,148.448158,-61.373379,-90.093333,111.483749
72.845957,1.826411,149.024237,-60.905066,-90.071895,117.107339
76.314647,1.054198,149.452216,-60.546447,-90.052840,121.993327
79.409141,0.541836,149.731210,-60.300798,-90.036596,126.080624
82.064404,0.244653,149.887837,-60.150183,-90.023306,129.366903
84.207721,0.101190,149.958236,-60.069318,-90.013015,131.870168
85.766373,0.049970,149.978552,-60.032916,-90.005768,133.608447
86.667791,0.029551,149.984913,-60.015702,-90.001609,134.599876
86.962450,0.005136,149.997250,-60.002524,-90.000157,134.951927
86.999999,-0.000007,149.999997,-59.999981,-89.999962,134.999987
