j1,j2,j3,j4,j5,j6
74.999992,-0.000003,89.999981,0.000006,-89.999907,-0.000010
74.989070,0.059129,90.086158,-0.145302,-89.999907,-0.010932
74.956787,0.235661,90.340215,-0.575888,-89.999907,-0.043215
74.904347,0.527473,90.750955,-1.278435,-89.999907,-0.095655
74.830689,0.936725,91.328113,-2.264840,-89.999908,-0.169314
74.734062,1.466879,92.087793,-3.554665,-89.999909,-0.265941
74.612728,2.121374,93.045997,-5.167353,-89.999909,-0.387276
74.466361,2.901286,94.205535,-7.106789,-89.999911,-0.533644
74.297416,3.803025,95.543241,-9.346219,-89.999912,-0.702589
74.108676,4.822457,97.032916,-11.855310,-89.999913,-0.891331
73.902921,5.955450,98.648359,-14.603728,-89.999914,-1.097087
73.682933,7.197870,100.363370,-17.561141,-89.999916,-1.317075
73.451494,8.545583,102.151749,-20.697216,-89.999918,-1.548515
73.211385,9.994456,103.987297,-23.981619,-89.999919,-1.788625
72.965388,11.540355,105.843812,-27.384018,-89.999921,-2.034623
72.716284,13.179147,107.695096,-30.874079,-89.999922,-2.283728
72.466854,14.906697,109.514947,-34.421469,-89.999924,-2.533158
72.219816,16.717899,111.278250,-37.995964,-89.999926,-2.780197
71.977601,18.603349,112.964663,-41.567821,-89.999927,-3.022412
71.742564,20.552468,114.555154,-45.107428,-89.999928,-3.257448
71.517060,22.554674,116.030695,-48.585174,-89.999930,-3.482952
71.303442,24.599384,117.372254,-51.971447,-89.999931,-3.696570
71.104065,26.676018,118.560803,-55.236636,-89.999932,-3.895947
70.921282,28.773994,119.577310,-58.351129,-89.999933,-4.078729
70.757449,30.882730,120.402746,-61.285315,-89.999934,-4.242561
70.614918,32.991645,121.018080,-64.009583,-89.999934,-4.385090
70.496046,35.090158,121.404284,-66.494320,-89.999934,-4.503961
70.402759,37.165882,121.547422,-68.713207,-89.999935,-4.597246
70.332450,39.187226,121.487810,-70.674965,-89.999935,-4.667553
70.279771,41.110996,121.298530,-72.409480,-89.999934,-4.720230
70.239338,42.893838,121.053117,-73.946929,-89.999934,-4.760662
70.207248,44.505963,120.804122,-75.310069,-89.999934,-4.792751
70.183846,45.958287,120.543237,-76.501513,-89.999934,-4.816153
70.167651,47.245690,120.287259,-77.533005,-89.999934,-4.832342
70.158497,48.365916,120.040354,-78.406213,-89.999935,-4.841505
70.156259,49.316269,119.807382,-79.122622,-89.999943,-4.843816
70.159303,50.098937,119.595286,-79.691680,-89.999955,-4.840884
70.165713,50.717051,119.411387,-80.124342,-89.999968,-4.834588
70.173607,51.174916,119.262494,-80.432226,-89.999976,-4.826775
70.181372,51.486000,119.151457,-80.632124,-89.999978,-4.819021
70.187519,51.668064,119.079275,-80.743253,-89.999967,-4.812781
70.190631,51.740043,119.046484,-80.785359,-89.999944,-4.809453
70.191111,51.749284,119.041455,-80.790722,-89.999934,-4.808887
