j1,j2,j3,j4,j5,j6
159.833216,86.109438,103.048683,-99.158118,-90.000009,174.833226
159.832979,86.082766,103.072066,-99.154832,-90.000011,174.833053
159.833105,86.002817,103.142139,-99.144961,-90.000016,174.833459
159.833238,85.869130,103.259492,-99.128622,-90.000012,174.833361
159.832888,85.681358,103.424600,-99.105925,-89.999983,174.831619
159.832202,85.440257,103.636678,-99.076853,-89.999942,174.828911
159.831563,85.146988,103.894474,-99.041339,-89.999907,174.826580
159.831356,84.802717,104.196733,-98.999318,-89.999899,174.825972
159.831962,84.408607,104.542205,-98.950724,-89.999937,174.828433
159.833763,83.965822,104.929633,-98.895489,-90.000040,174.835295
159.836652,83.475756,105.357263,-98.833244,-90.000202,174.846122
159.839547,82.940263,105.822336,-98.763013,-90.000363,174.856896
159.841242,82.361251,106.321969,-98.683746,-90.000457,174.863168
159.840534,81.740631,106.853283,-98.594392,-90.000416,174.860487
159.836220,81.080313,107.413394,-98.493901,-90.000176,174.844403
159.827943,80.382273,107.999165,-98.381090,-89.999716,174.813590
159.827556,79.649507,108.603657,-98.252780,-89.999686,174.811821
159.833027,78.885329,109.218881,-98.104193,-89.999995,174.832716
159.815877,78.091887,109.840686,-97.931546,-89.999139,174.772821
159.768531,77.268727,110.467755,-97.732830,-89.996913,174.618293
159.688723,76.416153,111.099795,-97.508082,-89.993339,174.361318
159.575553,75.536503,111.737394,-97.260159,-89.988361,173.972816
159.427934,74.632089,112.381092,-96.991853,-89.981928,173.423772
159.238411,73.703495,113.029451,-96.702438,-89.974148,172.698968
158.992185,72.749305,113.678753,-96.387130,-89.965316,171.799109
158.674045,71.767992,114.325150,-96.040916,-89.955736,170.725785
158.268782,70.758029,114.964798,-95.658784,-89.945710,169.480586
157.761187,69.717888,115.593850,-95.235725,-89.935543,168.065100
157.136052,68.646044,116.208461,-94.766725,-89.925539,166.480917
156.378195,67.540976,116.804790,-94.246787,-89.916002,164.729630
155.478428,66.402804,117.380036,-93.673484,-89.907146,162.813440
154.440916,65.235298,117.933716,-93.050125,-89.898992,160.735907
153.271629,64.042719,118.465660,-92.380793,-89.891532,158.500774
151.976533,62.829331,118.975697,-91.669571,-89.884761,156.111784
150.561598,61.599397,119.463658,-90.920541,-89.878670,153.572679
149.032792,60.357178,119.929373,-90.137786,-89.873254,150.887204
147.396084,59.106937,120.372670,-89.325390,-89.868505,148.059100
145.657441,57.852937,120.793380,-88.487435,-89.864417,145.092111
143.822832,56.599441,121.191334,-87.628004,-89.860983,141.989980
141.898226,55.350711,121.566359,-86.751180,-89.858197,138.756449
139.889592,54.111010,121.918288,-85.861046,-89.856050,135.395262
