j1,j2,j3,j4,j5,j6
161.199855,87.046759,78.693519,-75.740275,-89.999975,176.199865
161.199993,87.011729,78.725474,-75.737201,-89.999975,176.199885
161.200012,86.906604,78.821404,-75.728004,-89.999976,176.199653
161.199665,86.730884,78.982201,-75.713087,-89.999974,176.200233
161.199001,86.484671,79.207595,-75.692281,-89.999968,176.201877
161.198421,86.168980,79.495552,-75.664560,-89.999963,176.203461
161.198351,85.784898,79.843904,-75.628832,-89.999962,176.203761
161.199220,85.333510,80.250484,-75.584006,-89.999970,176.201552
161.201374,84.815949,80.713066,-75.528980,-89.999988,176.195832
161.204083,84.233979,81.228659,-75.462543,-90.000011,176.188551
161.205861,83.589808,81.793733,-75.383408,-90.000027,176.183739
161.205203,82.885654,82.404748,-75.290283,-90.000021,176.185473
161.200605,82.123733,83.058161,-75.181876,-89.999982,176.197825
161.194084,81.306821,83.749900,-75.056844,-89.999925,176.215325
161.199290,80.440384,84.473408,-74.913795,-89.999971,176.201212
161.191730,79.528467,85.224138,-74.752779,-89.999901,176.224063
161.156175,78.571643,86.001044,-74.573617,-89.999601,176.319864
161.090084,77.569677,86.804047,-74.375979,-89.999077,176.489673
160.991388,76.525196,87.632159,-74.161525,-89.998322,176.762239
160.858013,75.440997,88.484334,-73.932028,-89.997325,177.167928
160.683950,74.318911,89.359517,-73.688241,-89.996097,177.728299
160.455315,73.158840,90.256633,-73.428875,-89.994683,178.447275
160.157286,71.960456,91.174605,-73.152399,-89.993133,179.326676
159.775043,70.723431,92.112353,-72.857281,-89.991497,180.368324
159.293762,69.447437,93.068802,-72.541989,-89.989827,181.574040
158.698623,68.132146,94.042873,-72.204993,-89.988171,182.945645
157.974804,66.777230,95.033489,-71.844759,-89.986580,184.484962
157.110806,65.383318,96.039343,-71.460505,-89.985097,186.192992
156.108823,63.954979,97.058190,-71.054534,-89.983728,188.067369
154.974573,62.497796,98.087540,-70.629941,-89.982473,190.104858
153.713776,61.017352,99.124904,-70.189824,-89.981331,192.302224
152.332148,59.519232,100.167793,-69.737278,-89.980301,194.656232
150.835409,58.009017,101.213720,-69.275399,-89.979381,197.163648
149.229277,56.492292,102.260194,-68.807285,-89.978571,199.821237
147.519471,54.974639,103.304728,-68.336032,-89.977869,202.625763
145.711709,53.461643,104.344831,-67.864735,-89.977275,205.573993
143.811708,51.958887,105.378016,-67.396491,-89.976788,208.662690
141.825189,50.471954,106.401793,-66.934398,-89.976405,211.888621
139.757868,49.006427,107.413674,-66.481550,-89.976127,215.248551
137.615465,47.567889,108.411170,-66.041044,-89.975952,218.739244
135.403698,46.161925,109.391792,-65.615977,-89.975880,222.357467
133.128285,44.794117,110.353050,-65.209445,-89.975908,226.099983
130.794945,43.470049,111.292458,-64.824545,-89.976036,229.963559
128.409397,42.195304,112.207524,-64.464372,-89.976264,233.944959
125.977357,40.975466,113.095761,-64.132024,-89.976589,238.040949
123.504546,39.816117,113.954680,-63.830595,-89.977012,242.248294
120.996681,38.722842,114.781792,-63.563184,-89.977530,246.563759
118.459805,37.700859,115.574765,-63.332682,-89.978142,250.982945
115.901976,36.753123,116.332247,-63.140705,-89.978841,255.494218
113.332027,35.881719,117.053259,-62.988385,-89.979619,260.083163
110.758790,35.088730,117.736826,-62.876848,-89.980467,264.735361
108.191099,34.376239,118.381970,-62.807224,-89.981375,269.436393
105.637788,33.746329,118.987715,-62.780640,-89.982337,274.171840
103.107691,33.201083,119.553084,-62.798225,-89.983342,278.927281
100.609641,32.742586,120.077100,-62.861106,-89.984383,283.688299
98.152472,32.372919,120.558788,-62.970413,-89.985450,288.440473
95.745017,32.094166,120.997169,-63.127272,-89.986535,293.169384
93.396111,31.908411,121.391269,-63.332813,-89.987630,297.860613
91.114585,31.817735,121.740108,-63.588164,-89.988725,302.499740
88.909276,31.824223,122.042712,-63.894452,-89.989812,307.072346
86.789015,31.929958,122.298104,-64.252806,-89.990882,311.564012
84.762636,32.137023,122.505306,-64.664355,-89.991927,315.960319
82.838974,32.447500,122.663342,-65.130226,-89.992938,320.246846
81.026861,32.863474,122.771236,-65.651547,-89.993906,324.409175
79.335131,33.387027,122.828010,-66.229448,-89.994822,328.432887
77.772619,34.020243,122.832688,-66.865055,-89.995679,332.303561
76.348157,34.765204,122.784294,-67.559498,-89.996467,336.006779
75.070050,35.622365,122.682518,-68.312941,-89.997179,339.525600
73.941493,36.576440,122.533499,-69.116250,-89.997809,342.818708
72.962819,37.603321,122.346990,-69.955078,-89.998359,345.831134
72.134325,38.678805,122.132782,-70.815019,-89.998826,348.507754
71.456314,39.778688,121.900669,-71.681670,-89.999210,350.793448
70.929084,40.878766,121.660443,-72.540625,-89.999510,352.633094
70.552936,41.954836,121.421895,-73.377480,-89.999725,353.971571
