j1,j2,j3,j4,j5,j6
193.188895,88.056807,110.191770,-108.248572,-89.999989,118.188911
193.189076,87.956631,110.285399,-108.242023,-89.999989,118.189063
193.189118,87.655016,110.568348,-108.223368,-89.999987,118.189226
193.188497,87.152765,111.038697,-108.191496,-89.999983,118.188918
193.188297,86.455334,111.685154,-108.140517,-89.999984,118.188663
193.189621,85.568613,112.495619,-108.064170,-89.999997,118.189018
193.191464,84.501055,113.454349,-107.955232,-90.000013,118.189697
193.190721,83.263654,114.541986,-107.805526,-90.000005,118.189577
193.186477,81.868337,115.738091,-107.606591,-89.999964,118.188265
193.186397,80.336036,117.012579,-107.348716,-89.999972,118.187622
193.154473,78.679563,118.347628,-107.029030,-89.999718,118.172207
193.098930,76.901944,119.737183,-106.644732,-89.999168,118.133769
192.978750,75.003852,121.184786,-106.200093,-89.998315,118.075560
192.743053,72.985612,122.695619,-105.700694,-89.997146,118.002670
192.350197,70.850208,124.270291,-105.150129,-89.995662,117.914691
191.798470,68.612135,125.889658,-104.543403,-89.993914,117.787455
191.096949,66.288992,127.529242,-103.873197,-89.991967,117.590377
190.254710,63.898380,129.164565,-103.132196,-89.989888,117.292871
189.280827,61.457899,130.771148,-102.313081,-89.987740,116.864352
188.184378,58.985150,132.324513,-101.408536,-89.985591,116.274234
186.974437,56.497733,133.800181,-100.411245,-89.983505,115.491931
185.659651,54.012598,135.175284,-99.314875,-89.981543,114.489348
184.244498,51.540366,136.442603,-98.122681,-89.979728,113.262601
182.731107,49.088094,137.603733,-96.843317,-89.978058,111.821439
181.121579,46.662800,138.660365,-95.485494,-89.976532,110.175763
179.418017,44.271500,139.614192,-94.057926,-89.975149,108.335477
177.622525,41.921212,140.466908,-92.569325,-89.973908,106.310482
175.737204,39.618954,141.220204,-91.028405,-89.972807,104.110679
173.764158,37.371743,141.875774,-89.443878,-89.971846,101.745970
171.705488,35.186596,142.435310,-87.824457,-89.971022,99.226258
169.563297,33.070530,142.900505,-86.178856,-89.970336,96.561445
167.339688,31.030564,143.273051,-84.515786,-89.969785,93.761431
165.036764,29.073714,143.554641,-82.843960,-89.969369,90.836120
162.656626,27.206998,143.746968,-81.172093,-89.969086,87.795412
160.201379,25.437433,143.851724,-79.508895,-89.968935,84.649210
157.673123,23.772037,143.870602,-77.863082,-89.968916,81.407416
155.073962,22.217827,143.805295,-76.243364,-89.969026,78.079932
152.405998,20.781819,143.657495,-74.658455,-89.969264,74.676659
149.671334,19.471033,143.428895,-73.117068,-89.969630,71.207499
146.872073,18.292484,143.121187,-71.627916,-89.970123,67.682354
144.010316,17.253191,142.736065,-70.199711,-89.970740,64.111127
141.088345,16.359924,142.275342,-68.841043,-89.971480,60.503815
138.111593,15.615094,141.742962,-67.558309,-89.972338,56.872139
135.088193,15.017370,141.144702,-66.356029,-89.973301,53.229292
132.026367,14.565305,140.486393,-65.238661,-89.974360,49.588516
128.934337,14.257448,139.773869,-64.210663,-89.975501,45.963052
125.820325,14.092350,139.012963,-63.276495,-89.976715,42.366140
122.692552,14.068561,138.209509,-62.440614,-89.977991,38.811024
119.559240,14.184633,137.369339,-61.707479,-89.979316,35.310943
116.428610,14.439114,136.498287,-61.081549,-89.980680,31.879140
113.308885,14.830557,135.602187,-60.567282,-89.982072,28.528855
110.208286,15.357511,134.686870,-60.169136,-89.983481,25.273331
107.135035,16.018527,133.758172,-59.891571,-89.984894,22.125808
104.097353,16.812156,132.821924,-59.739044,-89.986303,19.099529
101.103462,17.736947,131.883961,-59.716014,-89.987694,16.207733
98.161584,18.791452,130.950114,-59.826940,-89.989057,13.463664
95.279940,19.974221,130.026219,-60.076280,-89.990381,10.880561
92.466753,21.283804,129.118107,-60.468493,-89.991654,8.471667
89.730244,22.718752,128.231612,-61.008037,-89.992866,6.250223
87.078634,24.277616,127.372568,-61.699370,-89.994005,4.229471
84.520145,25.958945,126.546807,-62.546952,-89.995060,2.422651
82.063362,27.760897,125.760128,-63.554811,-89.996020,0.842711
79.730914,29.666393,125.016954,-64.710354,-89.996878,-0.508776
77.563636,31.638607,124.319930,-65.979440,-89.997632,-1.644981
75.603575,33.639396,123.671582,-67.326494,-89.998280,-2.580057
73.892778,35.630617,123.074436,-68.715941,-89.998821,-3.328158
72.473292,37.574129,122.531017,-70.112205,-89.999253,-3.903437
71.387166,39.431788,122.043851,-71.479711,-89.999574,-4.320047
70.676342,41.165456,121.615461,-72.782883,-89.999783,-4.592154
70.331627,42.738734,121.246705,-73.986162,-89.999888,-4.739747
70.211869,44.123759,120.933353,-75.057274,-89.999927,-4.798222
70.191246,45.372826,120.655824,-76.028646,-89.999934,-4.808785
70.190928,46.543816,120.394267,-76.938059,-89.999934,-4.809038
70.191395,47.594172,120.153699,-77.747859,-89.999934,-4.808630
70.191238,48.522550,119.933718,-78.456251,-89.999934,-4.808759
70.191053,49.327488,119.734004,-79.061471,-89.999934,-4.808927
70.190955,50.009850,119.556407,-79.566236,-89.999934,-4.809026
70.190950,50.570997,119.403238,-79.974216,-89.999934,-4.809043
70.191041,51.012363,119.276789,-80.289135,-89.999934,-4.808960
70.191196,51.339118,119.178241,-80.517343,-89.999934,-4.808807
70.191327,51.561974,119.107131,-80.669088,-89.999934,-4.808675
70.191339,51.692088,119.062863,-80.754934,-89.999934,-4.808661
70.191174,51.742544,119.044180,-80.786707,-89.999934,-4.808825
70.191111,51.749284,119.041455,-80.790722,-89.999934,-4.808888
