j1,j2,j3,j4,j5,j6
151.208504,87.046752,78.693519,-75.740265,-89.999948,166.208514
151.208448,86.988383,78.747089,-75.735464,-89.999948,166.208502
151.208512,86.812906,78.908457,-75.721357,-89.999948,166.208535
151.208358,86.519594,79.178844,-75.698458,-89.999948,166.207886
151.208136,86.110371,79.554349,-75.664766,-89.999947,166.207142
151.208158,85.587932,80.029581,-75.617553,-89.999947,166.207291
151.208729,84.954984,80.599138,-75.554088,-89.999949,166.209302
151.209734,84.215106,81.256584,-75.471532,-89.999951,166.212742
151.210295,83.373456,81.993619,-75.366849,-89.999952,166.214640
151.209456,82.435360,82.801745,-75.236983,-89.999950,166.211758
151.206922,81.406529,83.672134,-75.078853,-89.999944,166.203100
151.208505,80.297858,84.591703,-74.889553,-89.999948,166.208493
151.201643,79.118228,85.550630,-74.669600,-89.999934,166.185854
151.176583,77.868855,86.546784,-74.418706,-89.999889,166.120929
151.132808,76.550834,87.579673,-74.137463,-89.999815,166.003338
151.074708,75.166481,88.649138,-73.828089,-89.999710,165.806201
151.006025,73.718191,89.754879,-73.492733,-89.999572,165.502999
150.917721,72.209646,90.893914,-73.131937,-89.999406,165.076404
150.789517,70.645652,92.060905,-72.744834,-89.999217,164.517181
150.600746,69.031058,93.250433,-72.330508,-89.999012,163.816370
150.330744,67.370709,94.457078,-71.888041,-89.998797,162.965011
149.958846,65.669454,95.675421,-71.416519,-89.998580,161.954145
149.464387,63.932139,96.900042,-70.915024,-89.998367,160.774814
148.826884,62.163623,98.125543,-70.382676,-89.998164,159.418140
148.036225,60.369379,99.347717,-69.820530,-89.997976,157.880007
147.098070,58.555824,100.564167,-69.232594,-89.997803,156.163531
146.019393,56.729448,101.772651,-68.623121,-89.997644,154.272435
144.807175,54.896745,102.970924,-67.996364,-89.997499,152.210441
143.468392,53.064208,104.156742,-67.356576,-89.997369,149.981272
142.010021,51.238328,105.327860,-66.708011,-89.997253,147.588650
140.439041,49.425600,106.482035,-66.054922,-89.997151,145.036298
138.762430,47.632515,107.617023,-65.401562,-89.997063,142.327938
136.987164,45.865566,108.730580,-64.752184,-89.996989,139.467293
135.120222,44.131246,109.820461,-64.111042,-89.996928,136.458086
133.168582,42.436047,110.884422,-63.482389,-89.996882,133.304038
131.139220,40.786462,111.920220,-62.870478,-89.996848,130.008872
129.039116,39.188983,112.925610,-62.279563,-89.996829,126.576312
126.875245,37.650104,113.898349,-61.713896,-89.996822,123.010079
124.654587,36.176317,114.836191,-61.177731,-89.996829,119.313895
122.384119,34.774115,115.736894,-60.675322,-89.996849,115.491484
120.070818,33.449990,116.598213,-60.210920,-89.996881,111.546568
117.721663,32.210434,117.417904,-59.788781,-89.996927,107.482869
115.343630,31.061942,118.193723,-59.413157,-89.996985,103.304110
112.943708,30.010975,118.923438,-59.088285,-89.997056,99.014075
110.529552,29.062066,119.605639,-58.817309,-89.997139,94.620661
108.109900,28.216616,120.240243,-58.601606,-89.997233,90.138417
105.693588,27.475745,120.827289,-58.442393,-89.997337,85.582500
103.289449,26.840572,121.366815,-58.340886,-89.997449,80.968065
100.906321,26.312215,121.858861,-58.298300,-89.997570,76.310265
98.553038,25.891794,122.303464,-58.315854,-89.997696,71.624256
96.238435,25.580427,122.700663,-58.394762,-89.997829,66.925194
93.971349,25.379233,123.050497,-58.536241,-89.997965,62.228233
91.760614,25.289332,123.353004,-58.741507,-89.998105,57.548529
89.615065,25.311841,123.608222,-59.011777,-89.998246,52.901235
87.543539,25.447880,123.816192,-59.348266,-89.998388,48.301509
85.554871,25.698567,123.976949,-59.752192,-89.998530,43.764504
83.657895,26.065022,124.090535,-60.224770,-89.998671,39.305375
81.861448,26.548363,124.156986,-60.767217,-89.998809,34.939278
80.174365,27.149710,124.176342,-61.380749,-89.998944,30.681368
78.605481,27.870180,124.148641,-62.066582,-89.999073,26.546799
77.163631,28.710894,124.073921,-62.825933,-89.999197,22.550727
75.857652,29.672969,123.952222,-63.660017,-89.999313,18.708307
74.696378,30.757525,123.783582,-64.570052,-89.999422,15.034694
73.688556,31.965543,123.568083,-65.557161,-89.999521,11.545194
72.835779,33.286940,123.309397,-66.614975,-89.999610,8.267308
72.127338,34.692596,123.017366,-67.724240,-89.999688,5.249518
71.551307,36.151514,122.702444,-68.864431,-89.999756,2.542374
71.095760,37.632696,122.375082,-70.015022,-89.999813,0.196427
70.748773,39.105145,122.045733,-71.155486,-89.999859,-1.737773
70.498420,40.537862,121.724849,-72.265297,-89.999893,-3.209673
70.332775,41.899851,121.422879,-73.323928,-89.999916,-4.168755
70.238713,43.161938,121.147316,-74.309671,-89.999928,-4.626067
70.199182,44.302609,120.896281,-75.198974,-89.999933,-4.780688
70.191270,45.351538,120.661018,-76.012549,-89.999934,-4.808601
70.190876,46.348212,120.434797,-76.782988,-89.999934,-4.809231
70.191411,47.261337,120.223282,-77.484604,-89.999934,-4.808514
70.191377,48.089707,120.026677,-78.116368,-89.999934,-4.808591
70.191180,48.831852,119.844967,-78.676800,-89.999934,-4.808857
70.191020,49.487076,119.679010,-79.166066,-89.999934,-4.809036
70.190920,50.055212,119.530246,-79.585439,-89.999934,-4.809122
70.190903,50.536106,119.400123,-79.936211,-89.999934,-4.809112
70.190989,50.929630,119.290081,-80.219694,-89.999934,-4.809004
70.191162,51.237900,119.200894,-80.438778,-89.999934,-4.808823
70.191342,51.466851,119.132202,-80.599036,-89.999934,-4.808645
70.191444,51.622790,119.083532,-80.706305,-89.999934,-4.808549
70.191383,51.712021,119.054414,-80.766418,-89.999934,-4.808616
70.191166,51.744816,119.043068,-80.787866,-89.999934,-4.808833
