j1,j2,j3,j4,j5,j6
50.107783,57.542138,103.254920,-70.796536,-89.999955,98.107649
50.112555,57.391621,103.303390,-70.694401,-89.999951,98.112379
50.126622,56.936611,103.443397,-70.379599,-89.999960,98.126540
50.149126,56.180872,103.657131,-69.838614,-90.000006,98.149524
50.177954,55.161439,103.917494,-69.080118,-90.000032,98.178622
50.210812,53.920203,104.196099,-68.116081,-89.999968,98.210819
50.245893,52.499384,104.466094,-66.961162,-89.999781,98.243973
50.284012,50.942988,104.708866,-65.644448,-89.999639,98.280638
50.326857,49.295615,104.908553,-64.199848,-89.999780,98.324935
50.373346,47.605245,105.047677,-62.658984,-90.000256,98.376283
50.405481,45.935538,105.111624,-61.048201,-90.000056,98.405777
50.467437,44.249214,105.171705,-59.464913,-90.002051,98.487603
50.572100,42.534576,105.246947,-57.930233,-90.006862,98.641195
50.705567,40.801319,105.320264,-56.436899,-90.014496,98.852707
50.940889,39.021516,105.494435,-55.037164,-90.023919,99.184573
51.378579,37.155287,105.910058,-53.802037,-90.033775,99.723352
52.114999,35.164726,106.702100,-52.799792,-90.042750,100.551881
53.175495,33.045629,107.909250,-52.051973,-90.050252,101.689423
54.525895,30.822042,109.489510,-51.540953,-90.056296,103.101957
56.130184,28.518880,111.398384,-51.247896,-90.060917,104.753813
57.952349,26.161063,113.591376,-51.153967,-90.064150,106.609322
59.956378,23.773506,116.023992,-51.240327,-90.066028,108.632815
62.106257,21.381129,118.651738,-51.488141,-90.066586,110.788623
64.365973,19.008848,121.430118,-51.878573,-90.065858,113.041078
66.699513,16.681582,124.314637,-52.392786,-90.063879,115.354510
69.070858,14.424239,127.260789,-53.011932,-90.060683,117.693248
71.443066,12.260360,130.222168,-53.715198,-90.056363,120.021310
73.777218,10.210561,133.148303,-54.477569,-90.051143,122.302048
76.034141,8.295080,135.988200,-55.273488,-90.045259,124.498729
78.174662,6.534155,138.690866,-56.077399,-90.038950,126.574620
80.159609,4.948023,141.205306,-56.863745,-90.032453,128.492986
81.949808,3.556924,143.480527,-57.606971,-90.026005,130.217095
83.506087,2.381096,145.465536,-58.281520,-90.019846,131.710214
84.789272,1.440776,147.109338,-58.861836,-90.014212,132.935608
85.760191,0.756202,148.360941,-59.322363,-90.009341,133.856545
86.393617,0.336752,149.186732,-59.643537,-90.005448,134.449990
86.748801,0.126006,149.658398,-59.842097,-90.002598,134.775892
86.916637,0.042901,149.887061,-59.948380,-90.000804,134.925279
86.985830,0.008960,149.981400,-59.992469,-90.000059,134.986812
86.999999,-0.000007,149.999997,-59.999981,-89.999962,134.999987
