j1,j2,j3,j4,j5,j6
185.331507,85.458665,93.348209,-88.806877,-90.000091,-159.668485
185.331521,85.374053,93.423240,-88.797296,-90.000092,-159.668547
185.331364,85.119339,93.649809,-88.769155,-90.000091,-159.668467
185.330933,84.694594,94.027548,-88.722170,-90.000086,-159.668021
185.330851,84.104242,94.548332,-88.652608,-90.000085,-159.667852
185.331817,83.353174,95.203203,-88.556369,-90.000094,-159.668696
185.333682,82.447472,95.981773,-88.429153,-90.000111,-159.670461
185.334254,81.396079,96.870219,-88.266179,-90.000117,-159.671073
185.331046,80.208364,97.854210,-88.062596,-90.000088,-159.668171
185.330431,78.897195,98.916072,-87.813309,-90.000082,-159.667591
185.324115,77.480774,100.034633,-87.515704,-90.000024,-159.661184
185.293579,75.965004,101.202591,-87.169433,-89.999700,-159.627499
185.235629,74.351359,102.418290,-86.774302,-89.999111,-159.562420
185.119012,72.640887,103.683974,-86.333647,-89.998247,-159.449707
184.911569,70.834691,105.001929,-85.850904,-89.997097,-159.272629
184.593330,68.938231,106.368021,-85.327326,-89.995679,-159.014205
184.163019,66.963649,107.768275,-84.760821,-89.994046,-158.657070
183.620943,64.923650,109.187884,-84.149010,-89.992258,-158.183827
182.967409,62.830940,110.612038,-83.489516,-89.990374,-157.577078
182.202724,60.698226,112.025930,-82.779961,-89.988452,-156.819425
181.327195,58.538213,113.414751,-82.017968,-89.986551,-155.893473
180.341130,56.363606,114.763697,-81.201161,-89.984731,-154.781829
179.245241,54.185711,116.061301,-80.329169,-89.983036,-153.472463
178.041385,52.011905,117.305472,-79.407247,-89.981471,-151.968400
176.731613,49.848879,118.495753,-78.441633,-89.980037,-150.275289
175.317980,47.703327,119.631688,-77.438563,-89.978731,-148.398779
173.802539,45.581940,120.712820,-76.404275,-89.977552,-146.344522
172.187343,43.491412,121.738693,-75.345005,-89.976500,-144.118165
170.474446,41.438433,122.708849,-74.266989,-89.975574,-141.725359
168.665901,39.429696,123.622833,-73.176466,-89.974771,-139.171754
166.763762,37.471894,124.480187,-72.079672,-89.974092,-136.462998
164.770082,35.571719,125.280455,-70.982843,-89.973535,-133.604742
162.686914,33.735863,126.023181,-69.892216,-89.973099,-130.602635
160.516312,31.971018,126.707907,-68.814030,-89.972784,-127.462326
158.260330,30.283877,127.334177,-67.754519,-89.972587,-124.189465
155.921020,28.681131,127.901534,-66.719921,-89.972507,-120.789703
153.500436,27.169474,128.409522,-65.716474,-89.972545,-117.268687
151.000632,25.755597,128.857685,-64.750414,-89.972698,-113.632069
148.423661,24.446192,129.245564,-63.827977,-89.972965,-109.885497
145.771577,23.247952,129.572705,-62.955401,-89.973347,-106.034621
143.046432,22.167570,129.838649,-62.138923,-89.973840,-102.085090
140.250281,21.211736,130.042941,-61.384779,-89.974445,-98.042556
137.386634,20.385667,130.185790,-60.698405,-89.975158,-93.914524
134.463752,19.689771,130.269571,-60.082624,-89.975970,-89.714552
131.490857,19.123478,130.297101,-59.539732,-89.976872,-85.457428
128.477176,18.686217,130.271197,-59.072021,-89.977854,-81.157940
125.431933,18.377418,130.194677,-58.681786,-89.978905,-76.830875
122.364353,18.196512,130.070357,-58.371319,-89.980015,-72.491022
119.283660,18.142928,129.901053,-58.142915,-89.981174,-68.153168
116.199079,18.216096,129.689584,-57.998867,-89.982373,-63.832102
113.119835,18.415445,129.438765,-57.941469,-89.983601,-59.542610
110.055152,18.740407,129.151413,-57.973014,-89.984848,-55.299481
107.014255,19.190410,128.830346,-58.095796,-89.986105,-51.117503
104.006370,19.764884,128.478380,-58.312109,-89.987360,-47.011463
101.040720,20.463260,128.098333,-58.624246,-89.988605,-42.996150
98.126530,21.284966,127.693020,-59.034501,-89.989828,-39.086350
95.273025,22.229434,127.265260,-59.545168,-89.991021,-35.296853
92.489430,23.296093,126.817868,-60.158540,-89.992172,-31.642445
89.784970,24.484372,126.353662,-60.876911,-89.993272,-28.137915
87.168868,25.793702,125.875459,-61.702575,-89.994311,-24.798051
84.650351,27.223512,125.386075,-62.637825,-89.995279,-21.637640
82.238642,28.773233,124.888327,-63.684954,-89.996166,-18.671470
79.948096,30.436203,124.385782,-64.840912,-89.996963,-15.917058
77.812502,32.182678,123.884843,-66.082390,-89.997667,-13.402260
75.870250,33.977450,123.392587,-67.381286,-89.998277,-11.157382
74.159733,35.785312,122.916090,-68.709497,-89.998792,-9.212727
72.719340,37.571055,122.462427,-70.038919,-89.999210,-7.598601
71.587464,39.299470,122.038676,-71.341450,-89.999529,-6.345308
70.802496,40.935349,121.651912,-72.588985,-89.999749,-5.483153
70.385455,42.444048,121.308294,-73.753057,-89.999871,-5.024679
70.229022,43.795269,121.007173,-74.802640,-89.999921,-4.851210
70.192251,45.000125,120.738981,-75.739124,-89.999934,-4.810211
70.190994,46.136303,120.484998,-76.621273,-89.999934,-4.808720
70.191138,47.172663,120.248508,-77.421157,-89.999934,-4.808946
70.191122,48.101179,120.030786,-78.131950,-89.999934,-4.808932
