j1,j2,j3,j4,j5,j6
161.199855,87.046759,78.693519,-75.740275,-89.999975,176.199865
161.199988,87.014556,78.722897,-75.737451,-89.999975,176.199894
161.200021,86.917938,78.811051,-75.728985,-89.999976,176.199658
161.199732,86.756461,78.958772,-75.715234,-89.999974,176.200086
161.199117,86.530097,79.166050,-75.696160,-89.999969,176.201577
161.198513,86.239704,79.431166,-75.670895,-89.999964,176.203199
161.198297,85.886237,79.752209,-75.638477,-89.999962,176.203873
161.198848,85.470654,80.127270,-75.597943,-89.999966,176.202519
161.200532,84.993917,80.554431,-75.548331,-89.999981,176.198082
161.203106,84.457345,81.031341,-75.488613,-90.000003,176.191182
161.205337,83.862840,81.554945,-75.417663,-90.000022,176.185163
161.205899,83.212356,82.122120,-75.334341,-90.000027,176.183615
161.203467,82.507847,82.729746,-75.237511,-90.000006,176.190130
161.196945,81.751304,83.374666,-75.126032,-89.999950,176.207676
161.195285,80.946334,84.052184,-74.998613,-89.999936,176.211976
161.199509,80.097778,84.756689,-74.854465,-89.999971,176.201039
161.182923,79.208104,85.485480,-74.693952,-89.999823,176.249402
161.139711,78.276708,86.238423,-74.516398,-89.999468,176.361672
161.067848,77.304435,87.015118,-74.322245,-89.998905,176.548872
160.965529,76.293746,87.814646,-74.113056,-89.998127,176.837740
160.830800,75.247074,88.636084,-73.890361,-89.997126,177.254755
160.656800,74.165649,89.478500,-73.654418,-89.995917,177.815413
160.430810,73.049267,90.340945,-73.403966,-89.994544,178.522089
160.139768,71.897639,91.222468,-73.137655,-89.993050,179.376387
159.770612,70.710475,92.122120,-72.854136,-89.991480,180.379914
159.310277,69.487487,93.038951,-72.552058,-89.989878,181.534273
158.745702,68.228386,93.972012,-72.230071,-89.988289,182.841071
158.063824,66.932883,94.920353,-71.886827,-89.986756,184.301911
157.253577,65.601262,95.882887,-71.521423,-89.985319,185.917909
156.315684,64.237204,96.857717,-71.135618,-89.983987,187.687276
155.255178,62.845626,97.842649,-70.732137,-89.982761,189.607161
154.077100,61.431449,98.835491,-70.313711,-89.981638,191.674715
152.786488,59.999594,99.834050,-69.883069,-89.980618,193.887086
151.388383,58.554982,100.836130,-69.442938,-89.979700,196.241424
149.887825,57.102534,101.839540,-68.996047,-89.978884,198.734878
148.289853,55.647170,102.842086,-68.545127,-89.978167,201.364596
146.599507,54.193811,103.841574,-68.092905,-89.977550,204.127727
144.821826,52.747377,104.835810,-67.642111,-89.977031,207.021422
142.961851,51.312791,105.822602,-67.195473,-89.976609,210.042829
141.024621,49.894971,106.799755,-66.755721,-89.976284,213.189096
139.015176,48.498839,107.765077,-66.325582,-89.976054,216.457374
136.938556,47.129315,108.716373,-65.907787,-89.975919,219.844811
134.799800,45.791321,109.651451,-65.505063,-89.975877,223.348557
132.603948,44.489778,110.568117,-65.120141,-89.975928,226.965759
130.356041,43.229604,111.464177,-64.755748,-89.976071,230.693569
128.061117,42.015723,112.337439,-64.414613,-89.976305,234.529133
125.724216,40.853054,113.185707,-64.099466,-89.976628,238.469603
123.350379,39.746517,114.006790,-63.813036,-89.977041,242.512126
120.944644,38.701035,114.798494,-63.558051,-89.977541,246.653852
118.512354,37.721188,115.558770,-63.337049,-89.978128,250.890848
116.060635,36.809552,116.286440,-63.151441,-89.978795,255.212768
113.597272,35.967964,116.980643,-63.002222,-89.979535,259.606906
111.130050,35.198260,117.640516,-62.890385,-89.980340,264.060554
108.666755,34.502275,118.265200,-62.816925,-89.981203,268.561005
106.215171,33.881846,118.853835,-62.782837,-89.982115,273.095551
103.783084,33.338808,119.405558,-62.789115,-89.983069,277.651482
101.378279,32.874998,119.919509,-62.836752,-89.984058,282.216092
99.008542,32.492251,120.394828,-62.926744,-89.985074,286.776671
96.681657,32.192404,120.830654,-63.060084,-89.986109,291.320513
94.405409,31.977291,121.226126,-63.237768,-89.987155,295.834909
92.187585,31.848750,121.580383,-63.460788,-89.988206,300.307151
90.035970,31.808616,121.892565,-63.730140,-89.989253,304.724531
87.958347,31.858725,122.161811,-64.046818,-89.990289,309.074341
85.962504,32.000914,122.387259,-64.411817,-89.991306,313.343872
84.056224,32.237017,122.568050,-64.826129,-89.992296,317.520417
82.247294,32.568870,122.703322,-65.290751,-89.993252,321.591268
80.543498,32.998311,122.792215,-65.806675,-89.994166,325.543717
78.952622,33.527175,122.833868,-66.374897,-89.995031,329.365055
77.482451,34.157297,122.827420,-66.996411,-89.995839,333.042574
76.140770,34.890514,122.772010,-67.672211,-89.996583,336.563568
74.934544,35.726134,122.667813,-68.401797,-89.997254,339.911413
73.865846,36.648397,122.521177,-69.175768,-89.997852,343.046156
72.934943,37.635980,122.340729,-69.981432,-89.998375,345.919232
72.142099,38.667552,122.135099,-70.806095,-89.998822,348.482060
71.487580,39.721781,121.912916,-71.637062,-89.999193,350.686060
70.971648,40.777337,121.682811,-72.461637,-89.999486,352.482653
70.594569,41.812887,121.453415,-73.267127,-89.999701,353.823260
70.356366,42.807150,121.233301,-74.040827,-89.999838,354.660606
70.239451,43.742428,121.026974,-74.769530,-89.999906,355.042520
70.197672,44.609276,120.832044,-75.441341,-89.999930,355.169763
70.191116,45.429684,120.643637,-76.073310,-89.999934,355.191018
70.191144,46.219070,120.460478,-76.679529,-89.999934,355.191423
70.191036,46.958509,120.286411,-77.244904,-89.999934,355.190882
70.190994,47.647548,120.121596,-77.769127,-89.999934,355.190848
70.191011,48.285291,119.966149,-78.251423,-89.999934,355.191034
70.191056,48.870767,119.820369,-78.691118,-89.999934,355.191182
70.191113,49.402880,119.685052,-79.087913,-89.999934,355.191265
70.191167,49.880510,119.561079,-79.441571,-89.999934,355.191292
70.191202,50.302538,119.449333,-79.751853,-89.999934,355.191274
70.191204,50.667846,119.350696,-80.018524,-89.999934,355.191220
70.191160,50.975587,119.265971,-80.241541,-89.999934,355.191142
70.191085,51.227259,119.195284,-80.422526,-89.999934,355.191056
70.191006,51.425548,119.138418,-80.563948,-89.999934,355.190982
70.190949,51.573147,119.095151,-80.668281,-89.999934,355.190938
70.190942,51.672752,119.065264,-80.737999,-89.999934,355.190944
70.191009,51.727227,119.048485,-80.775694,-89.999934,355.191018
70.191096,51.746571,119.042329,-80.788883,-89.999934,355.191104
70.191112,51.749284,119.041455,-80.790722,-89.999934,355.191120
