j1,j2,j3,j4,j5,j6
113.681614,89.570034,113.430755,-113.000781,-90.000016,38.681630
113.681650,89.506743,113.490730,-112.997472,-90.000017,38.681669
113.681796,89.316240,113.671557,-112.987791,-90.000016,38.681813
113.681508,88.997324,113.975085,-112.972328,-90.000012,38.681493
113.681064,88.553821,114.396818,-112.950477,-90.000006,38.681014
113.680998,87.991049,114.930369,-112.921273,-90.000007,38.680955
113.681837,87.314335,115.569332,-112.883739,-90.000021,38.681886
113.683448,86.529945,116.305000,-112.835390,-90.000045,38.683657
113.684439,85.645928,117.124282,-112.770869,-90.000059,38.684740
113.683276,84.670538,118.013596,-112.684499,-90.000040,38.683451
113.679301,83.612232,118.958440,-112.570093,-89.999979,38.679073
113.681606,82.482653,119.930041,-112.412665,-90.000009,38.681617
113.670964,81.291749,120.902791,-112.192429,-89.999868,38.670091
113.631288,80.040082,121.869076,-111.900284,-89.999427,38.627533
113.568308,78.731408,122.831071,-111.542064,-89.998680,38.559636
113.491791,77.371679,123.792642,-111.127407,-89.997616,38.476089
113.383562,75.960770,124.742621,-110.645897,-89.996290,38.359089
113.208998,74.494982,125.660990,-110.075321,-89.994799,38.174648
112.933267,72.970570,126.527619,-109.393309,-89.993236,37.888572
112.521537,71.383789,127.322376,-108.577496,-89.991699,37.466667
111.941025,69.731569,128.026153,-107.607141,-89.990279,36.876760
111.185503,68.019582,128.633040,-106.482587,-89.989012,36.112867
110.267246,66.259593,129.146334,-105.218866,-89.987897,35.187256
109.198910,64.463492,129.569520,-103.831309,-89.986932,34.112565
107.993147,62.643168,129.906079,-102.335251,-89.986115,32.901434
106.662612,60.810511,130.159495,-100.746023,-89.985444,31.566503
105.219958,58.977411,130.333253,-99.078957,-89.984917,30.120411
103.677840,57.155757,130.430835,-97.349386,-89.984533,28.575798
102.048911,55.357438,130.455725,-95.572642,-89.984288,26.945303
100.345825,53.594345,130.411407,-93.764058,-89.984180,25.241565
98.581236,51.878366,130.301363,-91.938966,-89.984209,23.477223
96.767799,50.221392,130.129078,-90.112699,-89.984371,21.664918
94.918166,48.635312,129.898035,-88.300588,-89.984665,19.817288
93.044992,47.132014,129.611716,-86.517967,-89.985089,17.946974
91.160964,45.723205,129.273697,-84.780066,-89.985639,16.066645
89.279342,44.417499,128.889052,-83.100412,-89.986307,14.189492
87.413853,43.220958,128.464101,-81.491128,-89.987076,12.329135
85.578242,42.139567,128.005198,-79.964294,-89.987928,10.499207
83.786251,41.179310,127.518699,-78.531987,-89.988848,8.713341
82.051624,40.346173,127.010960,-77.206288,-89.989819,6.985169
80.388104,39.646140,126.488336,-75.999275,-89.990824,5.328325
78.809435,39.085196,125.957184,-74.923029,-89.991847,3.756442
77.329359,38.669326,125.423857,-73.989628,-89.992872,2.283153
75.961620,38.404516,124.894713,-73.211152,-89.993880,0.922090
74.719961,38.296750,124.376106,-72.599680,-89.994857,-0.313114
73.618126,38.352012,123.874392,-72.167290,-89.995786,-1.408825
72.669858,38.576289,123.395927,-71.926063,-89.996650,-2.351411
71.888900,38.975564,122.947066,-71.888078,-89.997431,-3.127239
71.288002,39.554680,122.533986,-72.064098,-89.998115,-3.723667
70.857921,40.293153,122.158904,-72.435738,-89.998692,-4.149996
70.567883,41.145716,121.820161,-72.956085,-89.999160,-4.437010
70.386216,42.066060,121.515938,-73.577030,-89.999517,-4.616389
70.281246,43.007879,121.244412,-74.250464,-89.999760,-4.719813
70.221883,43.925598,121.003738,-74.929002,-89.999889,-4.778376
70.194432,44.795955,120.791217,-75.587175,-89.999930,-4.805588
70.191017,45.634132,120.596408,-76.230519,-89.999934,-4.808982
70.191129,46.441842,120.409072,-76.850898,-89.999934,-4.808870
70.191226,47.208985,120.229898,-77.438869,-89.999934,-4.808772
70.191184,47.934804,120.057312,-77.992098,-89.999934,-4.808815
70.191124,48.616956,119.890393,-78.507329,-89.999934,-4.808875
70.191074,49.248306,119.731469,-78.979755,-89.999934,-4.808925
70.191043,49.820855,119.583452,-79.404289,-89.999934,-4.808956
70.191041,50.326606,119.449254,-79.775842,-89.999934,-4.808958
70.191078,50.757793,119.331735,-80.089510,-89.999934,-4.808921
70.191141,51.110718,119.232817,-80.343518,-89.999934,-4.808858
70.191203,51.385129,119.153632,-80.538744,-89.999934,-4.808796
70.191234,51.580881,119.095287,-80.676150,-89.999934,-4.808765
70.191206,51.697830,119.058889,-80.756701,-89.999934,-4.808793
70.191129,51.742879,119.043723,-80.786585,-89.999934,-4.808870
70.191111,51.749284,119.041455,-80.790722,-89.999934,-4.808888
