j1,j2,j3,j4,j5,j6
173.262228,85.686640,99.814175,-95.500818,-90.000057,-171.737758
173.262271,85.617741,99.875289,-95.493033,-90.000057,-171.737795
173.262201,85.410430,100.059581,-95.470014,-90.000057,-171.737749
173.261862,85.063998,100.368084,-95.432085,-90.000057,-171.737170
173.261601,84.581701,100.795431,-95.377135,-90.000057,-171.736676
173.261869,83.967619,101.334929,-95.302550,-90.000057,-171.737110
173.263044,83.225951,101.979733,-95.205687,-90.000057,-171.739191
173.264438,82.362792,102.720678,-95.083474,-90.000057,-171.741692
173.264514,81.385729,103.546761,-94.932493,-90.000057,-171.741847
173.261720,80.302390,104.446929,-94.749322,-90.000057,-171.736865
173.260941,79.123356,105.406782,-94.530135,-90.000057,-171.735506
173.258927,77.863749,106.408007,-94.271737,-90.000057,-171.731428
173.236961,76.529170,107.443945,-93.973074,-90.000057,-171.691980
173.193575,75.120560,108.512326,-93.632819,-90.000057,-171.617630
173.120446,73.639243,109.615010,-93.254153,-90.000057,-171.485270
173.008552,72.086589,110.754236,-92.840682,-90.000056,-171.269478
172.848348,70.465355,111.929208,-92.394366,-90.000056,-170.948363
172.628622,68.782720,113.129448,-91.911913,-90.000056,-170.511302
172.337827,67.046746,114.342547,-91.388985,-90.000056,-169.949913
171.964417,65.265495,115.556098,-90.821244,-90.000055,-169.255816
171.496846,63.447029,116.757693,-90.204352,-90.000055,-168.420630
170.923568,61.599408,117.934925,-89.533971,-90.000053,-167.435974
170.233037,59.730694,119.075387,-88.805765,-90.000052,-166.293469
169.414542,57.848823,120.167343,-88.015939,-90.000049,-164.985348
168.466416,55.960352,121.206344,-87.166605,-90.000047,-163.510530
167.392534,54.070999,122.192406,-86.263490,-90.000043,-161.872026
166.196849,52.186467,123.125608,-85.312376,-90.000040,-160.072905
164.883317,50.312462,124.006029,-84.319041,-90.000035,-158.116237
163.455891,48.454687,124.833748,-83.289266,-90.000031,-156.005091
161.918526,46.618847,125.608845,-82.228831,-90.000026,-153.742538
160.275176,44.810646,126.331398,-81.143516,-90.000021,-151.331647
158.529795,43.035789,127.001488,-80.039100,-90.000015,-148.775487
156.686338,41.299979,127.619194,-78.921365,-90.000009,-146.077129
154.748758,39.608922,128.184594,-77.796090,-90.000004,-143.239642
152.721011,37.968322,128.697768,-76.669056,-89.999997,-140.266097
150.607050,36.383882,129.158796,-75.546041,-89.999991,-137.159561
148.410829,34.861308,129.567756,-74.432827,-89.999985,-133.923106
146.136304,33.406303,129.924729,-73.335193,-89.999978,-130.559801
143.787427,32.024573,130.229792,-72.258919,-89.999972,-127.072716
141.368154,30.721821,130.483026,-71.209786,-89.999966,-123.464920
138.882439,29.503752,130.684510,-70.193574,-89.999959,-119.739483
136.334236,28.376069,130.834323,-69.216061,-89.999953,-115.899475
133.727499,27.344479,130.932545,-68.283030,-89.999947,-111.947966
131.066186,26.414680,130.979256,-67.400257,-89.999941,-107.888032
128.355604,25.590944,130.975198,-66.572752,-89.999936,-103.725522
125.604437,24.873957,130.922772,-65.803601,-89.999930,-99.473229
122.821889,24.263858,130.824631,-65.095593,-89.999925,-95.145010
120.017165,23.760782,130.683429,-64.451516,-89.999920,-90.754728
117.199469,23.364865,130.501820,-63.874159,-89.999916,-86.316241
114.378006,23.076243,130.282458,-63.366312,-89.999911,-81.843410
111.561981,22.895054,130.027998,-62.930763,-89.999908,-77.350096
108.760597,22.821434,129.741094,-62.570302,-89.999904,-72.850157
105.983059,22.855518,129.424399,-62.287717,-89.999901,-68.357455
103.238572,22.997443,129.080568,-62.085797,-89.999898,-63.885849
100.536340,23.247346,128.712254,-61.967332,-89.999896,-59.449199
97.885568,23.605364,128.322113,-61.935109,-89.999894,-55.061366
95.295460,24.071631,127.912798,-61.991919,-89.999893,-50.736210
92.775220,24.646285,127.486963,-62.140551,-89.999892,-46.487591
90.334053,25.329462,127.047262,-62.383792,-89.999892,-42.329368
87.981164,26.121299,126.596350,-62.724433,-89.999892,-38.275403
85.725757,27.021931,126.136880,-63.165261,-89.999893,-34.339554
83.577036,28.031496,125.671507,-63.709067,-89.999894,-30.535683
81.544206,29.150129,125.202884,-64.358639,-89.999896,-26.877649
79.636471,30.377967,124.733667,-65.116765,-89.999899,-23.379312
77.863307,31.713923,124.266593,-65.985098,-89.999902,-20.055978
76.237760,33.140755,123.805524,-66.950268,-89.999906,-16.942028
74.775402,34.629802,123.355113,-67.988286,-89.999910,-14.085334
73.491860,36.152161,122.920030,-69.074939,-89.999914,-11.534049
72.402758,37.678928,122.504946,-70.186014,-89.999918,-9.336327
71.523723,39.181202,122.114530,-71.297299,-89.999923,-7.540323
70.870379,40.630080,121.753454,-72.384581,-89.999927,-6.194190
70.458072,41.996677,121.426371,-73.423650,-89.999930,-5.345436
70.265583,43.254487,121.135741,-74.390490,-89.999932,-4.957150
70.201034,44.385539,120.879033,-75.264643,-89.999934,-4.829509
70.191118,45.429501,120.643456,-76.072948,-89.999934,-4.808948
70.191121,46.418795,120.418790,-76.837562,-89.999934,-4.808716
70.191047,47.323773,120.209499,-77.533258,-89.999934,-4.809085
70.191034,48.143768,120.015428,-78.159179,-89.999934,-4.809012
70.191063,48.877474,119.836183,-78.713638,-89.999934,-4.808867
70.191109,49.524433,119.672491,-79.196904,-89.999934,-4.808789
70.191154,50.084687,119.525737,-79.610404,-89.999934,-4.808769
70.191178,50.558284,119.397313,-79.955579,-89.999934,-4.808793
70.191160,50.945311,119.288604,-80.233898,-89.999934,-4.808851
70.191101,51.248145,119.200333,-80.448461,-89.999934,-4.808923
70.191033,51.472797,119.132185,-80.604965,-89.999934,-4.808987
70.190992,51.625597,119.083750,-80.709330,-89.999934,-4.809017
70.191011,51.712878,119.054621,-80.767482,-89.999934,-4.808988
70.191091,51.744915,119.043111,-80.788009,-89.999934,-4.808907
70.191111,51.749284,119.041455,-80.790722,-89.999934,-4.808887
