j1,j2,j3,j4,j5,j6
166.905959,93.297133,118.645495,-121.942618,-90.000002,91.905974
166.905984,93.255366,118.686563,-121.941914,-90.000009,91.906000
166.906162,93.129558,118.810181,-121.939705,-90.000039,91.906185
166.906037,92.926947,119.010154,-121.937069,-90.000014,91.906053
166.905197,92.655857,119.279247,-121.935122,-89.999865,91.905173
166.903968,92.324478,119.609677,-121.934250,-89.999649,91.903885
166.902938,91.940957,119.993463,-121.934576,-89.999469,91.902807
166.902700,91.513436,120.422623,-121.936219,-89.999429,91.902557
166.903844,91.050063,120.889176,-121.939301,-89.999631,91.903752
166.906954,90.558971,121.385143,-121.943938,-90.000177,91.907003
166.911805,90.047187,121.903013,-121.949661,-90.001027,91.912073
166.916607,89.519601,122.436170,-121.954873,-90.001863,91.917091
166.919394,88.980857,122.978100,-121.957851,-90.002338,91.920000
166.918199,88.435600,123.522290,-121.956871,-90.002106,91.918744
166.911056,87.888476,124.062228,-121.950207,-90.000817,91.911264
166.897566,87.344014,124.592345,-121.936853,-89.998406,91.897146
166.897382,86.805009,125.119385,-121.924941,-89.998396,91.896967
166.905511,86.264616,125.645900,-121.910547,-89.999932,91.905510
166.877196,85.708915,126.160530,-121.871543,-89.995229,91.876803
166.805386,85.133047,126.660054,-121.800214,-89.983416,91.795506
166.681619,84.537994,127.144729,-121.697781,-89.964520,91.663662
166.489156,83.928645,127.616566,-121.571266,-89.938208,91.494101
166.212322,83.307830,128.076504,-121.424449,-89.904426,91.293441
165.841006,82.667997,128.520069,-121.244774,-89.864528,91.037021
165.366824,81.998368,128.941105,-121.014610,-89.820301,90.690458
164.781395,81.288162,129.333455,-120.716323,-89.773535,90.219365
164.076337,80.526599,129.690961,-120.332277,-89.726016,89.589353
163.243267,79.702900,130.007469,-119.844839,-89.679535,88.766037
162.274049,78.806604,130.276972,-119.236861,-89.635845,87.715944
161.166570,77.835160,130.497230,-118.503191,-89.595838,86.428174
159.924975,76.794227,130.669903,-117.651127,-89.559516,84.915253
158.553699,75.689842,130.796836,-116.688545,-89.526836,83.190796
157.057176,74.528045,130.879872,-115.623323,-89.497758,81.268419
155.439840,73.314875,130.920854,-114.463338,-89.472239,79.161736
153.706126,72.056369,130.921626,-113.216465,-89.450239,76.884364
151.860469,70.758568,130.884032,-111.890582,-89.431716,74.449916
149.907303,69.427511,130.809916,-110.493566,-89.416629,71.872010
147.851063,68.069235,130.701120,-109.033293,-89.404936,69.164259
145.696183,66.689779,130.559488,-107.517641,-89.396596,66.340279
143.447098,65.295184,130.386865,-105.954485,-89.391567,63.413684
141.108242,63.891486,130.185093,-104.351703,-89.389808,60.398092
138.684051,62.484726,129.956016,-102.717172,-89.391278,57.307116
136.178958,61.080942,129.701477,-101.058768,-89.395935,54.154371
133.597398,59.686174,129.423321,-99.384368,-89.403738,50.953474
130.943806,58.306458,129.123390,-97.701849,-89.414646,47.718039
128.222617,56.947836,128.803528,-96.019087,-89.428616,44.461681
125.438522,55.616316,128.465601,-94.343958,-89.445599,41.198039
122.600184,54.317473,128.111793,-92.684286,-89.465399,37.941105
119.719370,53.056536,127.744546,-91.047861,-89.487707,34.705149
116.807932,51.838728,127.366304,-89.442474,-89.512213,31.504449
113.877722,50.669269,126.979515,-87.875912,-89.538605,28.353281
110.940592,49.553382,126.586622,-86.355964,-89.566572,25.265923
108.008393,48.496287,126.190074,-84.890418,-89.595803,22.256653
105.092978,47.503207,125.792315,-83.487065,-89.625987,19.339747
102.206197,46.579362,125.395792,-82.153692,-89.656811,16.529484
99.359903,45.729975,125.002950,-80.898088,-89.687965,13.840139
96.565947,44.960266,124.616236,-79.728042,-89.719138,11.285991
93.836181,44.275457,124.238095,-78.651343,-89.750018,8.881317
91.182457,43.680770,123.870974,-77.675779,-89.780295,6.640394
88.616626,43.181426,123.517319,-76.809140,-89.809656,4.577500
86.150540,42.782647,123.179575,-76.059213,-89.837790,2.706912
83.796051,42.489654,122.860188,-75.433789,-89.864387,1.042906
81.565010,42.307668,122.561604,-74.940655,-89.889135,-0.400239
79.469269,42.241912,122.286270,-74.587601,-89.911722,-1.608246
77.521672,42.296245,122.036340,-74.380763,-89.931854,-2.569635
75.745254,42.460532,121.810972,-74.309299,-89.949404,-3.301688
74.169046,42.716407,121.607563,-74.352376,-89.964345,-3.838599
72.822155,43.045398,121.423486,-74.489037,-89.976650,-4.214783
71.733689,43.429033,121.256116,-74.698322,-89.986294,-4.464650
70.932754,43.848841,121.102825,-74.959275,-89.993249,-4.622615
70.447913,44.286430,120.960997,-75.251022,-89.997493,-4.722957
70.247745,44.732236,120.828871,-75.562299,-89.999372,-4.785592
70.194907,45.191408,120.705679,-75.897298,-89.999898,-4.807344
70.190759,45.657692,120.586755,-76.244366,-89.999937,-4.809032
70.191109,46.123378,120.469800,-76.593158,-89.999934,-4.808885
70.191359,46.587214,120.355347,-76.942574,-89.999933,-4.808740
70.191337,47.049335,120.242648,-77.291988,-89.999933,-4.808735
70.191205,47.510301,120.130429,-77.640712,-89.999934,-4.808795
70.191091,47.969601,120.017897,-77.987464,-89.999935,-4.808858
70.191016,48.422902,119.905983,-78.328845,-89.999935,-4.808911
70.190975,48.865014,119.796002,-78.660976,-89.999935,-4.808953
70.190964,49.290747,119.689271,-78.979983,-89.999935,-4.808979
70.190978,49.694911,119.587106,-79.281988,-89.999935,-4.808988
70.191013,50.072315,119.490822,-79.563117,-89.999934,-4.808977
70.191064,50.417827,119.401725,-79.819537,-89.999934,-4.808944
70.191124,50.727764,119.320850,-80.048602,-89.999934,-4.808892
70.191185,50.999992,119.248942,-80.248922,-89.999934,-4.808834
70.191236,51.232448,119.186733,-80.419169,-89.999934,-4.808780
70.191268,51.423073,119.134954,-80.558013,-89.999934,-4.808742
70.191272,51.569805,119.094337,-80.664126,-89.999934,-4.808732
70.191238,51.670583,119.065614,-80.736180,-89.999934,-4.808762
70.191168,51.725556,119.049045,-80.774584,-89.999934,-4.808831
70.191119,51.746310,119.042413,-80.788705,-89.999934,-4.808880
70.191111,51.749284,119.041455,-80.790722,-89.999934,-4.808888
