j1,j2,j3,j4,j5,j6
130.842934000000014,80.963355000000007,130.871409999999997,-121.832965999999999,-89.999784000000005,88.842663999999999
130.843439999999987,80.944817999999998,130.886503000000005,-121.829522999999995,-89.999784000000005,88.843170000000001
130.844753999999995,80.888047999999998,130.932650999999993,-121.818898000000004,-89.999784000000005,88.844481999999999
130.846026999999992,80.788888000000000,131.012759999999986,-121.799818000000002,-89.999791999999999,88.845735000000005
130.847125000000005,80.648945999999995,131.124877999999995,-121.771946999999997,-89.999803000000000,88.846801999999997
130.848058000000009,80.470916000000003,131.266153000000003,-121.735142999999994,-89.999814999999998,88.847701999999998
130.848837000000003,80.257490000000004,131.433736000000010,-121.689265000000006,-89.999824000000004,88.848456999999996
130.849470999999994,80.011363000000003,131.624774000000002,-121.634170999999995,-89.999825000000001,88.849087999999995
130.849972000000008,79.735226999999995,131.836419000000006,-121.569719000000006,-89.999814999999998,88.849614000000003
130.850348999999994,79.431776999999997,132.065819000000005,-121.495767000000001,-89.999791000000002,88.850057000000007
130.850612000000012,79.103560999999999,132.310277000000013,-121.412178999999995,-89.999747999999997,88.850434000000007
130.850773000000004,78.751988999999995,132.568297999999999,-121.318864000000005,-89.999689000000004,88.850752000000000
130.850841000000003,78.377932999999999,132.838954999999999,-121.215748000000005,-89.999618999999996,88.851009000000005
130.850824999999986,77.982263000000003,133.121327000000008,-121.102761999999998,-89.999540999999994,88.851202999999998
130.850737000000009,77.565845999999993,133.414490000000001,-120.979833999999997,-89.999459999999999,88.851331999999999
130.850584999999995,77.129551000000006,133.717523000000000,-120.846892999999994,-89.999380000000002,88.851393999999999
130.850380000000001,76.674245999999997,134.029503000000005,-120.703866000000005,-89.999306000000004,88.851388999999998
130.850133000000000,76.200801999999996,134.349505999999991,-120.550683000000006,-89.999241999999995,88.851314000000002
130.849851999999998,75.710085000000007,134.676612000000006,-120.387272999999993,-89.999191999999994,88.851167000000004
130.849548999999996,75.202965000000006,135.009896999999995,-120.213564000000005,-89.999160000000003,88.850948000000002
130.849232000000001,74.680311000000003,135.348439000000013,-120.029484999999994,-89.999151999999995,88.850654000000006
130.848913000000010,74.142989999999998,135.691314000000006,-119.834963999999999,-89.999171000000004,88.850284000000002
130.848601000000002,73.591871999999995,136.037601999999993,-119.629930999999999,-89.999222000000003,88.849835999999996
130.848306000000008,73.027825000000007,136.386379000000005,-119.414313000000007,-89.999307999999999,88.849307999999994
130.848038000000003,72.451718999999997,136.736721999999986,-119.188040000000001,-89.999435000000005,88.848699999999994
130.847806999999989,71.864420999999993,137.087709999999987,-118.951040000000006,-89.999606999999997,88.848007999999993
130.847622999999999,71.266799000000006,137.438420000000008,-118.703241000000006,-89.999827999999994,88.847232000000005
130.847490999999991,70.659557000000007,137.788084999999995,-118.444585000000004,-90.000096999999997,88.846378000000001
130.847401999999988,70.043015999999994,138.136298000000011,-118.175034999999994,-90.000400999999997,88.845472999999998
130.847344999999990,69.417441999999994,138.482700999999992,-117.894560999999996,-90.000726000000000,88.844544999999997
130.847308999999996,68.783102999999997,138.826938000000013,-117.603132000000002,-90.001057000000003,88.843621999999996
130.847284000000002,68.140264999999999,139.168653000000006,-117.300715999999994,-90.001378000000003,88.842733999999993
130.847260000000006,67.489193999999998,139.507486999999998,-116.987283000000005,-90.001677000000001,88.841909000000001
130.847225000000009,66.830158999999995,139.843085000000002,-116.662801000000002,-90.001936999999998,88.841176000000004
130.847169000000008,66.163424000000006,140.175090000000012,-116.327239000000006,-90.002144000000001,88.840564000000001
130.847082000000000,65.489258000000007,140.503144999999989,-115.980565999999996,-90.002284000000003,88.840102000000002
130.846951999999987,64.807925999999995,140.826893000000013,-115.622750999999994,-90.002341000000001,88.839816999999996
130.846768999999995,64.119697000000002,141.145976999999988,-115.253763000000006,-90.002302000000000,88.839740000000006
130.846522999999991,63.424835000000002,141.460039999999992,-114.873570999999998,-90.002150999999998,88.839899000000003
130.846203000000003,62.723609000000003,141.768725999999987,-114.482142999999994,-90.001874000000001,88.840322000000000
130.845799000000000,62.016285000000003,142.071678999999989,-114.079448999999997,-90.001456000000005,88.841037999999998
130.845298000000014,61.303130000000003,142.368539999999996,-113.665457000000004,-90.000883000000002,88.842076000000006
130.844692000000009,60.584409999999998,142.658952999999997,-113.240136000000007,-90.000139000000004,88.843464999999995
130.843975000000000,59.860354000000001,142.942601999999994,-112.803417999999994,-89.999221000000006,88.845213000000001
130.843232999999998,59.130586999999998,143.219783000000007,-112.354653999999996,-89.998277000000002,88.847010999999995
130.842620000000011,58.394258999999998,143.491278999999992,-111.892736999999997,-89.997580999999997,88.848298000000000
130.842294000000010,57.650509999999997,143.757883999999990,-111.416548000000006,-89.997406999999995,88.848510000000005
130.842361000000011,56.898654999999998,144.020161999999999,-110.925270999999995,-89.997938000000005,88.847271000000006
130.842645000000005,56.138967999999998,144.277431000000007,-110.419719999999998,-89.998863999999998,88.845231999999996
130.842876999999987,55.372038000000003,144.528595999999993,-109.901246000000000,-89.999707000000001,88.843387000000007
130.842786999999987,54.598457000000003,144.772562999999991,-109.371200999999999,-89.999994000000001,88.842727999999994
130.842207999999999,53.818629000000001,145.008547999999990,-108.830546999999996,-89.999379000000005,88.843950000000007
130.840972999999991,53.032680999999997,145.236537999999996,-108.279364999999999,-89.997876000000005,88.847170000000006
130.838754999999992,52.240724000000000,145.456558000000001,-107.717742999999999,-89.995547999999999,88.852435999999997
130.835442999999998,51.442663000000003,145.668308999999994,-107.146006999999997,-89.992316000000002,88.859688000000006
130.830849000000001,50.638658000000000,145.871784999999988,-106.564194999999998,-89.988207000000003,88.868949000000001
130.824703999999997,49.829093999999998,146.067245000000014,-105.972080000000005,-89.983356999999998,88.880319000000000
130.816735999999992,49.014363000000003,146.254956999999990,-105.369429999999994,-89.977901000000003,88.893900000000002
130.806672999999989,48.194858000000004,146.435189000000008,-104.756012999999996,-89.971975000000000,88.909792999999993
130.794243999999992,47.370970000000000,146.608207999999991,-104.131595000000004,-89.965716999999998,88.928100999999998
130.779177000000004,46.543090999999997,146.774282999999997,-103.495943999999994,-89.959261999999995,88.948925000000003
130.761193999999989,45.711618999999999,146.933674999999994,-102.848832999999999,-89.952747000000002,88.972367000000006
130.739699000000002,44.877178000000001,147.086367999999993,-102.190327999999994,-89.946265999999994,88.998510999999993
130.713629999999995,44.040733000000003,147.231927000000013,-101.520927000000000,-89.939856000000006,89.027411999999998
130.681886999999989,43.203274000000000,147.369889999999998,-100.841161000000000,-89.933548000000002,89.059123000000000
130.643369000000007,42.365791000000002,147.499790999999988,-100.151562999999996,-89.927374000000000,89.093699999999998
130.596976000000012,41.529273000000003,147.621165999999988,-99.452664999999996,-89.921363999999997,89.131195000000005
130.541606999999999,40.694713000000000,147.733548000000013,-98.744999000000007,-89.915550999999994,89.171661999999998
130.476163000000014,39.863098999999998,147.836475000000007,-98.029095999999996,-89.909965000000000,89.215154999999996
130.399542999999994,39.035421999999997,147.929480000000012,-97.305490000000006,-89.904636999999994,89.261726999999993
