j1,j2,j3,j4,j5,j6
75.815106,56.716706,113.408434,-80.119860,-89.999743,123.815401
75.815937,56.531248,113.480420,-80.006386,-89.999744,123.816278
75.817221,55.964221,113.687410,-79.646335,-89.999752,123.817808
75.817962,55.093296,113.986089,-79.074095,-89.999749,123.818457
75.817392,54.007018,114.330804,-78.332590,-89.999717,123.816884
75.815526,52.756404,114.696333,-77.447602,-89.999664,123.813341
75.812857,51.369578,115.069918,-76.434455,-89.999613,123.809048
75.809886,49.874336,115.438979,-75.308323,-89.999587,123.805241
75.807113,48.298476,115.790938,-74.084382,-89.999609,123.803157
75.805038,46.669796,116.113213,-72.777806,-89.999702,123.804030
75.804097,45.014849,116.393871,-71.403182,-89.999885,123.808827
75.804115,43.348419,116.627084,-69.969551,-90.000111,123.815971
75.804584,41.678805,116.810391,-68.482892,-90.000302,123.822480
75.804991,40.014239,116.941364,-66.949155,-90.000381,123.825360
75.804823,38.362951,117.017578,-65.374290,-90.000267,123.821617
75.803568,36.733175,117.036605,-63.764246,-89.999883,123.808255
75.801665,35.132050,116.996332,-62.124152,-89.999271,123.786794
75.806985,33.557768,116.897275,-60.452527,-89.999428,123.794123
75.815356,32.009172,116.741956,-58.751594,-90.000006,123.814815
75.809093,30.489780,116.533026,-57.029140,-89.999145,123.773494
75.781311,29.004026,116.271603,-55.291365,-89.996531,123.651054
75.729754,27.550865,115.958302,-53.536761,-89.992558,123.444786
75.655560,26.121227,115.593452,-51.753241,-89.988256,123.159643
75.558648,24.707391,115.177611,-49.930495,-89.984596,122.798431
75.425425,23.317262,114.713791,-48.078767,-89.981883,122.339880
75.234115,21.968202,114.206492,-46.220743,-89.980014,121.748151
74.962831,20.677708,113.660234,-44.379281,-89.978882,120.987203
74.589684,19.463275,113.079537,-42.577241,-89.978379,120.020992
74.092788,18.342397,112.468921,-40.837482,-89.978396,118.813477
73.450253,17.332569,111.832906,-39.182862,-89.978826,117.328615
72.643347,16.449135,111.175600,-37.633576,-89.979571,115.535719
71.669278,15.696562,110.499025,-36.196355,-89.980581,113.431163
70.530274,15.075891,109.804549,-34.873690,-89.981825,111.019847
69.228567,14.588161,109.093538,-33.668067,-89.983269,108.306673
67.766390,14.234412,108.367356,-32.581976,-89.984881,105.296543
66.145974,14.015683,107.627372,-31.617904,-89.986626,101.994361
64.369551,13.933015,106.874950,-30.778339,-89.988473,98.405030
62.439352,13.987446,106.111457,-30.065768,-89.990387,94.533451
