j1,j2,j3,j4,j5,j6
166.905959,93.297133,118.645495,-121.942618,-90.000002,91.905974
166.905978,93.258783,118.683209,-121.941978,-90.000008,91.905994
166.906151,93.142954,118.797000,-121.939921,-90.000037,91.906174
166.906087,92.955893,118.981518,-121.937376,-90.000023,91.906105
166.905379,92.704943,119.230422,-121.935372,-89.999897,91.905362
166.904224,92.397339,119.536918,-121.934336,-89.999694,91.904154
166.903142,92.040260,119.893972,-121.934377,-89.999505,91.903021
166.902653,91.640884,120.294551,-121.935602,-89.999420,91.902508
166.903277,91.206390,120.731620,-121.938118,-89.999531,91.903160
166.905536,90.743955,121.198144,-121.942030,-89.999929,91.905521
166.909698,90.260412,121.687235,-121.947264,-90.000658,91.909871
166.914561,89.760580,122.192847,-121.952682,-90.001507,91.914953
166.918390,89.248555,122.709240,-121.956765,-90.002170,91.918953
166.919454,88.728431,123.230673,-121.957994,-90.002340,91.920060
166.916019,88.204301,123.751407,-121.954848,-90.001710,91.916460
166.906352,87.680259,124.265701,-121.945808,-89.999975,91.906341
166.894457,87.159977,124.771269,-121.931975,-89.997855,91.893894
166.901378,86.644385,125.277468,-121.922131,-89.999126,91.901157
166.902530,86.123055,125.779849,-121.903173,-89.999431,91.902358
166.865244,85.586102,126.270029,-121.859071,-89.993257,91.864096
166.787921,85.030008,126.746014,-121.784312,-89.980626,91.775692
166.660180,84.457050,127.208665,-121.682068,-89.961431,91.642843
166.467222,83.871556,127.659765,-121.558556,-89.935378,91.476913
166.195564,83.275406,128.099821,-121.416141,-89.902504,91.281881
165.836657,82.661264,128.524535,-121.242689,-89.864091,91.033967
165.383114,82.019631,128.928481,-121.022659,-89.821717,90.702866
164.827547,81.341005,129.306233,-120.740509,-89.776956,90.258270
164.162571,80.615885,129.652366,-120.380697,-89.731386,89.669874
163.380797,79.834771,129.961452,-119.927683,-89.686583,88.907371
162.474889,78.988230,130.228098,-119.366028,-89.644116,87.940650
161.441464,78.072013,130.449376,-118.688156,-89.604990,86.754393
160.283788,77.090602,130.626512,-117.899736,-89.569259,85.358203
159.005772,76.049321,130.761131,-117.007711,-89.536887,83.764081
157.611322,74.953490,130.854856,-116.019022,-89.507837,81.984025
156.104347,73.808433,130.909313,-114.940610,-89.482074,80.030035
154.488756,72.619471,130.926127,-113.779419,-89.459561,77.914111
152.768456,71.391926,130.906923,-112.542390,-89.440260,75.648251
150.947356,70.131121,130.853325,-111.236465,-89.424136,73.244455
149.029365,68.842378,130.766957,-109.868586,-89.411152,70.714722
147.018390,67.531019,130.649446,-108.445695,-89.401272,68.071052
144.918340,66.202366,130.502415,-106.974734,-89.394458,65.325445
142.733122,64.861741,130.327489,-105.462645,-89.390676,62.489898
140.466647,63.514467,130.126293,-103.916369,-89.389887,59.576413
138.122820,62.165865,129.900452,-102.342850,-89.392057,56.596988
135.705552,60.821258,129.651590,-100.749028,-89.397147,53.563622
133.218749,59.485968,129.381333,-99.141846,-89.405122,50.488316
130.666321,58.165316,129.091305,-97.528246,-89.415945,47.383067
128.052176,56.864626,128.783130,-95.915169,-89.429580,44.259877
125.380508,55.589188,128.458458,-94.309555,-89.445980,41.130769
122.659176,54.343888,128.119233,-92.718298,-89.464964,38.008095
119.898575,53.133335,127.767607,-91.148263,-89.486260,34.904435
117.109149,51.962129,127.405735,-89.606315,-89.509594,31.832371
114.301346,50.834872,127.035774,-88.099318,-89.534691,28.804485
111.485608,49.756167,126.659880,-86.634137,-89.561278,25.833361
108.672382,48.730615,126.280207,-85.217636,-89.589079,22.931581
105.872112,47.762818,125.898911,-83.856679,-89.617820,20.111729
103.095244,46.857378,125.518149,-82.558131,-89.647228,17.386387
100.352223,46.018896,125.140075,-81.328857,-89.677027,14.768138
97.653494,45.251975,124.766846,-80.175719,-89.706944,12.269566
95.009502,44.561216,124.400617,-79.105584,-89.736704,9.903252
92.430692,43.951220,124.043544,-78.125315,-89.766032,7.681780
89.927510,43.426591,123.697783,-77.241777,-89.794655,5.617733
87.510401,42.991929,123.365489,-76.461834,-89.822298,3.723693
85.189809,42.651836,123.048817,-75.792351,-89.848686,2.012244
82.976180,42.410915,122.749925,-75.240192,-89.873546,0.495968
80.879960,42.273767,122.470966,-74.812221,-89.896603,-0.812551
78.911592,42.244993,122.214098,-74.515303,-89.917583,-1.900732
77.083898,42.325934,121.980777,-74.352344,-89.936250,-2.762693
75.419831,42.504019,121.769482,-74.309374,-89.952537,-3.421144
73.945043,42.762967,121.577900,-74.367919,-89.966421,-3.906412
72.685186,43.086500,121.403715,-74.509510,-89.977878,-4.248826
71.665915,43.458338,121.244614,-74.715675,-89.986886,-4.478715
70.912881,43.862202,121.098280,-74.967943,-89.993421,-4.626406
70.451254,44.281883,120.962408,-75.247920,-89.997463,-4.722113
70.253295,44.708959,120.835449,-75.545685,-89.999317,-4.783374
70.196592,45.148326,120.716838,-75.865423,-89.999881,-4.806650
70.190820,45.595185,120.602588,-76.197704,-89.999937,-4.809003
70.191028,46.041874,120.490129,-76.531971,-89.999935,-4.808928
70.191333,46.486960,120.379933,-76.866904,-89.999933,-4.808757
70.191360,46.930365,120.271597,-77.201971,-89.999933,-4.808727
70.191247,47.372574,120.164004,-77.536567,-89.999934,-4.808774
70.191125,47.813757,120.056178,-77.869905,-89.999935,-4.808837
70.191041,48.251032,119.948515,-78.199508,-89.999935,-4.808892
70.190989,48.679840,119.842168,-78.521968,-89.999935,-4.808937
70.190966,49.095609,119.738298,-78.833869,-89.999935,-4.808969
70.190968,49.493765,119.638062,-79.131795,-89.999935,-4.808986
70.190992,49.869733,119.542623,-79.412331,-89.999935,-4.808986
70.191032,50.218938,119.453138,-79.672059,-89.999934,-4.808966
70.191086,50.537125,119.370710,-79.907821,-89.999934,-4.808926
70.191145,50.821841,119.296101,-80.117930,-89.999934,-4.808873
70.191201,51.071267,119.229957,-80.301212,-89.999934,-4.808817
70.191246,51.283588,119.172922,-80.456497,-89.999934,-4.808768
70.191271,51.456987,119.125642,-80.582614,-89.999934,-4.808737
70.191269,51.589648,119.088761,-80.678393,-89.999934,-4.808734
70.191230,51.679755,119.062924,-80.742661,-89.999934,-4.808769
70.191162,51.728353,119.048164,-80.776500,-89.999934,-4.808837
70.191118,51.746663,119.042299,-80.788944,-89.999934,-4.808881
70.191111,51.749284,119.041455,-80.790722,-89.999934,-4.808888
