j1,j2,j3,j4,j5,j6
124.045046,85.458644,93.348232,-88.806864,-89.999996,139.045054
124.045006,85.394506,93.404760,-88.799254,-89.999996,139.045052
124.045054,85.201587,93.575113,-88.776688,-89.999996,139.045057
124.044957,84.879119,93.860421,-88.739537,-89.999995,139.044513
124.044828,84.429843,94.256329,-88.686175,-89.999994,139.043965
124.044870,83.857346,94.757147,-88.614493,-89.999995,139.044238
124.045275,83.165262,95.357133,-88.522368,-89.999997,139.046105
124.045873,82.358562,96.048785,-88.407283,-90.000000,139.048775
124.046072,81.443767,96.822570,-88.266261,-90.000000,139.049641
124.045260,80.427484,97.668840,-88.096299,-89.999997,139.045996
124.044136,79.317580,98.576449,-87.894077,-89.999990,139.040925
124.044616,78.127389,99.527970,-87.655380,-89.999985,139.043493
124.036873,76.863962,100.514320,-87.378718,-89.999946,139.013058
124.015097,75.527495,101.533087,-87.061926,-89.999871,138.943995
123.983286,74.120305,102.584846,-86.707906,-89.999758,138.825352
123.947723,72.645372,103.670815,-86.320876,-89.999606,138.643543
123.910172,71.105951,104.790198,-85.903288,-89.999416,138.383841
123.856061,69.506285,105.934929,-85.451231,-89.999193,138.027399
123.767130,67.850838,107.095299,-84.959352,-89.998948,137.554440
123.625121,66.144076,108.261599,-84.422302,-89.998688,136.945188
123.411774,64.390464,109.424121,-83.834729,-89.998422,136.179863
123.108829,62.594469,110.573156,-83.191282,-89.998159,135.238690
122.698032,60.760555,111.698997,-82.486613,-89.997907,134.101895
122.166509,58.893904,112.793855,-81.718029,-89.997672,132.755657
121.517409,57.001828,113.855651,-80.890748,-89.997457,131.203861
120.756843,55.092030,114.883362,-80.011452,-89.997260,129.453674
119.890925,53.172218,115.875967,-79.086821,-89.997082,127.512258
118.925767,51.250095,116.832442,-78.123538,-89.996922,125.386781
117.867482,49.333368,117.751765,-77.128283,-89.996780,123.084405
116.722183,47.429741,118.632913,-76.107738,-89.996656,120.612297
115.495982,45.546920,119.474865,-75.068584,-89.996549,117.977620
114.194992,43.692610,120.276598,-74.017503,-89.996461,115.187540
112.825326,41.874516,121.037089,-72.961176,-89.996390,112.249222
111.393097,40.100343,121.755317,-71.906284,-89.996336,109.169830
109.904418,38.377797,122.430258,-70.859509,-89.996299,105.956530
108.365400,36.714584,123.060890,-69.827532,-89.996279,102.616486
106.782157,35.118407,123.646191,-68.817034,-89.996277,99.156862
105.160802,33.596973,124.185138,-67.834698,-89.996290,95.584825
103.507448,32.157986,124.676709,-66.887203,-89.996321,91.907538
101.828206,30.809153,125.119882,-65.981232,-89.996367,88.132166
100.129190,29.558178,125.513634,-65.123466,-89.996430,84.265875
98.416513,28.412766,125.856943,-64.320586,-89.996509,80.315829
96.696363,27.380007,126.149045,-63.578918,-89.996604,76.290004
94.975421,26.462944,126.390872,-62.902452,-89.996713,72.201704
93.260570,25.662988,126.584043,-62.294236,-89.996835,68.066377
91.558692,24.981548,126.730178,-61.757315,-89.996969,63.899482
89.876668,24.420031,126.830895,-61.294734,-89.997113,59.716473
88.221381,23.979845,126.887814,-60.909539,-89.997265,55.532808
86.599713,23.662396,126.902555,-60.604776,-89.997425,51.363943
85.018546,23.469093,126.876737,-60.383490,-89.997591,47.225333
83.484762,23.401343,126.811979,-60.248725,-89.997760,43.132437
82.005244,23.460553,126.709902,-60.203529,-89.997933,39.100709
80.586872,23.648131,126.572124,-60.250945,-89.998106,35.145606
79.236531,23.965485,126.400265,-60.394020,-89.998279,31.282585
77.961101,24.414022,126.195945,-60.635799,-89.998451,27.527102
76.767464,24.995149,125.960783,-60.979327,-89.998619,23.894613
75.662504,25.710274,125.696398,-61.427650,-89.998783,20.400574
74.653101,26.560805,125.404411,-61.983813,-89.998940,17.060443
73.746139,27.548148,125.086440,-62.650861,-89.999090,13.889675
72.948498,28.673712,124.744105,-63.431840,-89.999230,10.903726
72.267062,29.938905,124.379025,-64.329796,-89.999360,8.118054
71.708015,31.343905,123.993026,-65.346752,-89.999478,5.548344
71.266003,32.868605,123.591327,-66.467839,-89.999582,3.214080
70.926195,34.476227,123.181936,-67.664312,-89.999674,1.137867
70.673477,36.129498,122.772944,-68.907012,-89.999752,-0.657597
70.492738,37.791147,122.372441,-70.166782,-89.999816,-2.149617
70.368864,39.423902,121.988519,-71.414465,-89.999866,-3.315494
70.286742,40.990491,121.629269,-72.620903,-89.999901,-4.132531
70.232067,42.453900,121.302351,-73.756764,-89.999922,-4.586028
70.200849,43.780442,121.009914,-74.790510,-89.999931,-4.763497
70.191733,44.969351,120.745949,-75.715317,-89.999934,-4.807007
70.190895,46.091860,120.494794,-76.586628,-89.999934,-4.809226
70.191266,47.120200,120.259834,-77.380019,-89.999934,-4.808696
70.191288,48.045334,120.042579,-78.087897,-89.999934,-4.808688
70.191151,48.865468,119.842770,-78.708219,-89.999934,-4.808871
70.191043,49.579619,119.661470,-79.241069,-89.999934,-4.808991
70.190984,50.187542,119.500784,-79.688306,-89.999934,-4.809038
70.190992,50.689011,119.362841,-80.051834,-89.999934,-4.809012
70.191080,51.084249,119.249639,-80.333871,-89.999934,-4.808912
70.191209,51.378536,119.161673,-80.540193,-89.999934,-4.808781
70.191307,51.580333,119.098495,-80.678811,-89.999934,-4.808687
70.191301,51.698152,119.059639,-80.757773,-89.999934,-4.808697
70.191158,51.743205,119.043739,-80.786926,-89.999934,-4.808841
70.191111,51.749284,119.041455,-80.790722,-89.999934,-4.808888
