j1,j2,j3,j4,j5,j6
86.999999,-0.000007,149.999997,-59.999981,-89.999962,134.999987
86.540111,0.121986,149.928854,-60.051691,-90.000037,134.286632
85.130696,0.485227,149.716581,-60.205149,-90.000254,132.134366
82.730845,1.084839,149.365231,-60.457354,-90.000599,128.533680
79.470990,1.927618,148.871872,-60.812374,-90.001087,123.571995
75.517424,3.022816,148.232527,-61.275770,-90.001746,117.356929
71.032914,4.378973,147.443514,-61.852658,-90.002597,109.997166
66.123864,5.993184,146.505938,-62.541069,-90.003625,101.618488
60.851325,7.853336,145.424752,-63.333336,-90.004786,92.360435
55.275066,9.947057,144.205018,-64.221630,-90.006035,82.362934
49.454853,12.261975,142.851799,-65.198122,-90.007326,71.765915
43.450456,14.785717,141.370157,-66.254984,-90.008615,60.709306
37.321640,17.505911,139.765155,-67.384386,-90.009855,49.333035
31.128175,20.410184,138.041853,-68.578499,-90.011002,37.777030
24.929828,23.486164,136.205315,-69.829495,-90.012011,26.181222
18.786365,26.721479,134.260603,-71.129545,-90.012835,14.685537
12.756165,30.102473,132.213504,-72.470314,-90.013436,3.425967
6.890314,33.608769,130.073603,-73.840828,-90.013795,-7.482126
1.237519,37.217796,127.851725,-75.229245,-90.013906,-17.930116
-4.153512,40.906982,125.558696,-76.623725,-90.013760,-27.809381
-9.234073,44.653755,123.205341,-78.012430,-90.013349,-37.011298
-13.955458,48.435542,120.802487,-79.383517,-90.012664,-45.427245
-18.268962,52.229771,118.360960,-80.725148,-90.011699,-52.948600
-22.125876,56.013869,115.891584,-82.025481,-90.010444,-59.466740
-25.477495,59.765264,113.405186,-83.272677,-90.008892,-64.873043
-28.275178,63.461292,110.912652,-84.454872,-90.007035,-69.059575
-30.479222,67.066638,108.433094,-85.556884,-90.004962,-72.013092
-32.067892,70.520566,106.002158,-86.556865,-90.002958,-73.910662
-33.021600,73.759292,103.657473,-87.432170,-90.001327,-74.952138
-33.358988,76.728054,101.431404,-88.163446,-90.000338,-75.346339
-33.394455,79.435829,99.319208,-88.754751,-89.999973,-75.394817
-33.389507,81.883273,97.322539,-89.205854,-90.000008,-75.389594
-33.381340,84.087244,95.430045,-89.517447,-90.000018,-75.381331
-33.373312,86.018495,93.703304,-89.721857,-90.000009,-75.373387
-33.366808,87.638148,92.218711,-89.856792,-89.999997,-75.366987
-33.362401,88.944223,91.000951,-89.945046,-89.999991,-75.362631
-33.359900,89.969710,90.025707,-89.995279,-89.999990,-75.360139
-33.359084,90.748976,89.266734,-90.015596,-89.999993,-75.359302
-33.359730,91.316385,88.697784,-90.014098,-89.999997,-75.359912
-33.361617,91.706304,88.292611,-89.998890,-90.000001,-75.361761
-33.364523,91.953178,88.024634,-89.977818,-90.000004,-75.364641
-33.368227,92.092710,87.861849,-89.954578,-90.000005,-75.368333
-33.372508,92.161624,87.767855,-89.929499,-90.000005,-75.372614
-33.377148,92.196676,87.706125,-89.902814,-90.000005,-75.377260
-33.381925,92.234619,87.640134,-89.874754,-90.000004,-75.382046
-33.386619,92.312208,87.533353,-89.845554,-90.000003,-75.386749
-33.390928,92.456637,87.359601,-89.816228,-90.000002,-75.391060
-33.393506,92.574162,87.223491,-89.797643,-90.000002,-75.393637
-33.393908,92.593166,87.201565,-89.794721,-90.000002,-75.394039
