j1,j2,j3,j4,j5,j6
135.820784,94.348347,119.724200,-124.072531,-90.000023,60.820799
135.820713,94.285533,119.789086,-124.074595,-90.000024,60.820729
135.820809,94.097356,119.983474,-124.080792,-90.000025,60.820828
135.820530,93.784899,120.306268,-124.091152,-90.000022,60.820538
135.819941,93.359448,120.745853,-124.105335,-90.000017,60.819930
135.819580,92.839136,121.283558,-124.122748,-90.000015,60.819559
135.819991,92.242220,121.900584,-124.142794,-90.000021,60.819986
135.821693,91.586910,122.578141,-124.164845,-90.000043,60.821745
135.824176,90.889791,123.297843,-124.187151,-90.000073,60.824310
135.825694,90.165487,124.041789,-124.206611,-90.000092,60.825882
135.824428,89.428501,124.792109,-124.220043,-90.000081,60.824582
135.818607,88.693304,125.531003,-124.224297,-90.000020,60.818586
135.816604,87.966968,126.255432,-124.222658,-89.999992,60.816511
135.819396,87.235603,126.976111,-124.211921,-90.000001,60.819357
135.794076,86.483119,127.680433,-124.166448,-89.999711,60.793161
135.733055,85.705763,128.365316,-124.079948,-89.999063,60.729719
135.640085,84.906079,129.032406,-123.956746,-89.998042,60.634130
135.517957,84.086223,129.682977,-123.800472,-89.996626,60.510530
135.349743,83.237992,130.310348,-123.597142,-89.994717,60.340561
135.108984,82.348178,130.903995,-123.324260,-89.992178,60.094999
134.769158,81.403542,131.453368,-122.959274,-89.988874,59.744547
134.303742,80.390844,131.947918,-122.479635,-89.984670,59.259908
133.686278,79.296881,132.377118,-121.862846,-89.979430,58.611856
132.899863,78.114316,132.734074,-121.095158,-89.973101,57.781975
131.947369,76.847947,133.019405,-120.180909,-89.965801,56.774221
130.834123,75.504075,133.234664,-119.126683,-89.957670,55.595322
129.565448,74.089002,133.381400,-117.939062,-89.948846,54.252006
128.146669,72.609028,133.461167,-116.624629,-89.939468,52.751002
126.583112,71.070456,133.475514,-115.189966,-89.929676,51.099036
124.880099,69.479586,133.425994,-113.641655,-89.919608,49.302838
123.042957,67.842722,133.314157,-111.986280,-89.909404,47.369135
121.077010,66.166162,133.141556,-110.230422,-89.899202,45.304657
118.987582,64.456211,132.909740,-108.380665,-89.889143,43.116130
116.779999,62.719168,132.620262,-106.443591,-89.879364,40.810283
114.459584,60.961335,132.274674,-104.425782,-89.870004,38.393844
112.031663,59.189014,131.874525,-102.333821,-89.861204,35.873541
109.501561,57.408507,131.421368,-100.174291,-89.853101,33.256102
106.874601,55.626114,130.916754,-97.953774,-89.845836,30.548256
104.158916,53.849916,130.363118,-95.681425,-89.839556,27.759673
101.381997,52.100269,129.768991,-93.384148,-89.834479,24.920311
98.579502,50.402704,129.145472,-91.096330,-89.830849,22.068691
95.787117,48.782770,128.503672,-88.852385,-89.828913,19.243358
93.040528,47.266016,127.854702,-86.686727,-89.828914,16.482863
90.375422,45.877993,127.209670,-84.633771,-89.831099,13.825751
87.827483,44.644249,126.579687,-82.727929,-89.835713,11.310572
85.432385,43.590320,125.975859,-81.003601,-89.843001,8.975855
83.216995,42.732777,125.406455,-79.485164,-89.853013,6.849234
81.184289,42.063870,124.872056,-78.169807,-89.865272,4.928768
79.333231,41.571763,124.371948,-77.050150,-89.879212,3.207550
77.662785,41.244620,123.905419,-76.118816,-89.894266,1.678674
76.171914,41.070606,123.471755,-75.368425,-89.909869,0.335232
74.859582,41.037883,123.070245,-74.791598,-89.925455,-0.829682
73.724751,41.134616,122.700174,-74.380958,-89.940457,-1.822976
72.766268,41.348961,122.360822,-74.129062,-89.954314,-2.651620
71.978741,41.668732,122.051144,-74.026266,-89.966635,-3.324812
71.351510,42.081327,121.769696,-74.060180,-89.977239,-3.854522
70.873586,42.574114,121.515009,-74.218241,-89.985958,-4.252894
70.533979,43.134465,121.285614,-74.487888,-89.992625,-4.532075
70.321697,43.749747,121.080042,-74.856560,-89.997073,-4.704209
70.221478,44.405142,120.896308,-75.307857,-89.999261,-4.784636
70.193013,45.074241,120.729130,-75.803780,-89.999894,-4.807346
70.190973,45.742944,120.569356,-76.312254,-89.999936,-4.809010
70.191162,46.402183,120.412855,-76.815028,-89.999934,-4.808841
70.191223,47.048748,120.259913,-77.308655,-89.999934,-4.808782
70.191169,47.681928,120.108744,-77.790654,-89.999934,-4.808829
70.191111,48.299280,119.958211,-78.257465,-89.999935,-4.808883
70.191070,48.892077,119.810566,-78.702616,-89.999935,-4.808924
70.191048,49.450241,119.668788,-79.119004,-89.999935,-4.808947
70.191047,49.963692,119.535856,-79.499527,-89.999934,-4.808951
70.191068,50.422355,119.414748,-79.837087,-89.999934,-4.808931
70.191111,50.817823,119.308095,-80.125903,-89.999934,-4.808889
70.191160,51.146355,119.217547,-80.363887,-89.999934,-4.808840
70.191199,51.405024,119.144586,-80.549594,-89.999934,-4.808801
70.191210,51.590899,119.090694,-80.681576,-89.999934,-4.808789
70.191178,51.701096,119.057341,-80.758420,-89.999934,-4.808821
70.191123,51.743242,119.043516,-80.786740,-89.999934,-4.808876
70.191111,51.749284,119.041455,-80.790722,-89.999934,-4.808888
