j1,j2,j3,j4,j5,j6
180.522911,89.350629,68.277833,-67.628463,-90.000030,-164.477075
180.522909,89.251935,68.373129,-67.625060,-90.000030,-164.477132
180.522761,88.954991,68.660951,-67.615959,-90.000030,-164.477017
180.522522,88.460546,69.138796,-67.599406,-90.000031,-164.476666
180.522679,87.772690,69.795626,-67.568359,-90.000031,-164.476761
180.523642,86.895911,70.619649,-67.515435,-90.000027,-164.477897
180.524501,85.837404,71.595592,-67.432715,-90.000024,-164.478979
180.523413,84.606266,72.705729,-67.311902,-90.000028,-164.477720
180.521838,83.213662,73.930664,-67.144507,-90.000034,-164.475849
180.519504,81.679225,75.245675,-66.925491,-90.000043,-164.472487
180.500124,80.011196,76.640736,-66.656342,-90.000128,-164.446030
180.462282,78.211775,78.113753,-66.337199,-90.000288,-164.393490
180.387781,76.281739,79.665931,-65.970170,-90.000527,-164.295554
180.257428,74.221831,81.298620,-65.557483,-90.000848,-164.131912
180.056196,72.038283,83.007905,-65.101302,-90.001247,-163.883617
179.776968,69.747744,84.779871,-64.603664,-90.001709,-163.534308
179.413511,67.368030,86.599484,-64.066592,-90.002216,-163.067914
178.959591,64.916957,88.451712,-63.492112,-90.002753,-162.468364
178.408975,62.412341,90.321521,-62.882246,-90.003301,-161.719586
177.755431,59.871996,92.193879,-62.239019,-90.003844,-160.805509
176.992724,57.313738,94.053751,-61.564454,-90.004364,-159.710062
176.116130,54.753511,95.888456,-60.861198,-90.004849,-158.421104
175.126263,52.200626,97.693629,-60.134094,-90.005296,-156.940410
174.024917,49.662930,99.466746,-59.388477,-90.005705,-155.272833
172.813886,47.148266,101.205285,-58.629678,-90.006077,-153.423226
171.494967,44.664482,102.906723,-57.863030,-90.006411,-151.396444
170.069953,42.219421,104.568536,-57.093865,-90.006709,-149.197340
168.540640,39.820929,106.188201,-56.327516,-90.006970,-146.830768
166.908822,37.476853,107.763196,-55.569315,-90.007196,-144.301580
165.176294,35.195036,109.290996,-54.824594,-90.007386,-141.614631
163.344851,32.983324,110.769079,-54.098687,-90.007541,-138.774774
161.416288,30.849564,112.194922,-53.396924,-90.007661,-135.786864
159.392399,28.801599,113.566001,-52.724640,-90.007746,-132.655752
157.274980,26.847276,114.879793,-52.087167,-90.007798,-129.386294
155.065825,24.994439,116.133776,-51.489836,-90.007815,-125.983342
152.766730,23.250935,117.325426,-50.937980,-90.007799,-122.451750
150.379488,21.624607,118.452219,-50.436932,-90.007750,-118.796371
147.905895,20.123303,119.511633,-49.992024,-90.007668,-115.022060
145.347745,18.754867,120.501145,-49.608589,-90.007554,-111.133670
142.706834,17.527144,121.418231,-49.291958,-90.007408,-107.136054
139.984956,16.447980,122.260369,-49.047465,-90.007231,-103.034066
137.185241,15.523748,123.025713,-48.879669,-90.007022,-98.834237
134.316277,14.754797,123.715198,-48.789960,-90.006785,-94.549964
131.388053,14.139934,124.330469,-48.778920,-90.006523,-90.196400
128.410556,13.677965,124.873171,-48.847131,-90.006238,-85.788700
125.393773,13.367699,125.344949,-48.995174,-90.005934,-81.342016
122.347692,13.207942,125.747447,-49.223629,-90.005612,-76.871503
119.282300,13.197502,126.082311,-49.533079,-90.005277,-72.392314
116.207584,13.335184,126.351187,-49.924104,-90.004931,-67.919602
113.133531,13.619797,126.555717,-50.397286,-90.004577,-63.468522
110.070129,14.050148,126.697549,-50.953207,-90.004217,-59.054227
107.027366,14.625043,126.778326,-51.592446,-90.003856,-54.691871
104.015228,15.343290,126.799694,-52.315587,-90.003495,-50.396607
101.043703,16.203695,126.763298,-53.123210,-90.003138,-46.183589
98.122778,17.205066,126.670782,-54.015896,-90.002787,-42.067971
95.262440,18.346211,126.523792,-54.994226,-90.002445,-38.064906
92.472678,19.625935,126.323972,-56.058783,-90.002116,-34.189548
89.763477,21.043046,126.072968,-57.210147,-90.001802,-30.457051
87.144826,22.596351,125.772424,-58.448899,-90.001506,-26.882568
84.626712,24.284658,125.423986,-59.775622,-90.001231,-23.481253
82.219122,26.106773,125.029298,-61.190895,-90.000980,-20.268260
79.935847,28.055832,124.591669,-62.691280,-90.000755,-17.261965
77.808686,30.098118,124.122277,-64.254296,-90.000558,-14.496011
75.874761,32.191975,123.634632,-65.851835,-90.000388,-12.008550
74.171197,34.295746,123.142240,-67.455787,-90.000245,-9.837736
72.735117,36.367774,122.658610,-69.038042,-90.000129,-8.021725
71.603646,38.366400,122.197249,-70.570491,-90.000042,-6.598671
70.813907,40.249968,121.771667,-72.025024,-89.999982,-5.606728
70.389855,41.977238,121.394029,-73.372577,-89.999950,-5.068671
70.231380,43.510967,121.063858,-74.575160,-89.999937,-4.862393
70.192615,44.857130,120.769501,-75.626660,-89.999934,-4.811072
70.191056,46.114956,120.491006,-76.605934,-89.999934,-4.808702
70.191104,47.253559,120.232585,-77.486130,-89.999934,-4.808959
70.191089,48.259885,119.996481,-78.256351,-89.999934,-4.808941
70.191087,49.131914,119.782558,-78.914453,-89.999934,-4.808862
70.191107,49.870223,119.592323,-79.462525,-89.999934,-4.808834
70.191129,50.476938,119.428206,-79.905125,-89.999934,-4.808843
70.191132,50.954211,119.292646,-80.246840,-89.999934,-4.808872
70.191108,51.306955,119.187224,-80.494162,-89.999934,-4.808906
70.191078,51.546988,119.111380,-80.658351,-89.999934,-4.808932
70.191068,51.687190,119.064227,-80.751400,-89.999934,-4.808933
70.191098,51.742011,119.044318,-80.786311,-89.999934,-4.808901
70.191111,51.749284,119.041455,-80.790722,-89.999934,-4.808887
