j1,j2,j3,j4,j5,j6
74.999999,0.000000,89.999981,0.000000,-89.999981,0.000000
74.975962,-0.015371,90.076673,-0.050336,-90.003304,-0.015189
74.904544,-0.060781,90.304614,-0.200258,-90.013113,-0.060326
74.785905,-0.136055,90.683287,-0.449510,-90.029367,-0.135307
74.619181,-0.242051,91.215317,-0.799436,-90.052260,-0.240667
74.403497,-0.379636,91.903362,-1.251397,-90.081990,-0.376946
74.137977,-0.549679,92.750081,-1.806756,-90.118754,-0.544685
73.821869,-0.752901,93.757712,-2.466670,-90.162716,-0.744342
73.456060,-0.988102,94.922946,-3.229614,-90.213583,-0.975299
73.042594,-1.252726,96.238564,-4.092171,-90.270746,-1.236173
72.583535,-1.544189,97.697268,-5.050888,-90.333587,-1.525569
72.080950,-1.859905,99.291759,-6.102309,-90.401491,-1.842090
71.536905,-2.197293,101.014737,-7.242979,-90.473839,-2.184340
70.953465,-2.553766,102.858904,-8.469442,-90.550015,-2.550921
70.332698,-2.926740,104.816959,-9.778243,-90.629402,-2.940438
69.676668,-3.313633,106.881604,-11.165929,-90.711382,-3.351494
68.987442,-3.711858,109.045540,-12.629042,-90.795340,-3.782693
68.267086,-4.118833,111.301467,-14.164128,-90.880657,-4.232638
67.517668,-4.531969,113.642076,-15.767728,-90.966717,-4.699930
66.742085,-4.947424,116.056707,-17.434877,-91.052600,-5.182561
65.945218,-5.358348,118.526663,-19.157003,-91.136672,-5.677056
65.132240,-5.757448,121.032064,-20.925002,-91.217189,-6.179726
64.308325,-6.137430,123.553028,-22.729770,-91.292409,-6.686879
63.478646,-6.491002,126.069675,-24.562203,-91.360589,-7.194826
62.648378,-6.810871,128.562124,-26.413196,-91.419988,-7.699876
61.822692,-7.089749,131.010510,-28.273653,-91.468863,-8.198343
61.005952,-7.322149,133.399345,-30.136223,-91.505921,-8.687265
60.200574,-7.506950,135.723755,-31.997793,-91.530948,-9.165444
59.408685,-7.643675,137.980440,-33.855878,-91.543890,-9.631942
58.632408,-7.731850,140.166100,-35.707995,-91.544697,-10.085823
57.873871,-7.770999,142.277436,-37.551659,-91.533313,-10.526148
57.135198,-7.760648,144.311150,-39.384386,-91.509688,-10.951982
56.418514,-7.700321,146.263940,-41.203692,-91.473767,-11.362387
55.725947,-7.589543,148.132509,-43.007092,-91.425498,-11.756425
55.059620,-7.427839,149.913556,-44.792102,-91.364828,-12.133160
54.421659,-7.214734,151.603782,-46.556239,-91.291704,-12.491655
53.814191,-6.949752,153.199887,-48.297017,-91.206074,-12.830972
53.239342,-6.632421,154.698574,-50.011949,-91.107886,-13.150173
52.699459,-6.262473,156.096595,-51.698145,-90.997272,-13.448255
52.197310,-5.840036,157.390805,-53.351937,-90.874715,-13.724085
51.735712,-5.365286,158.578071,-54.969569,-90.740738,-13.976517
51.317481,-4.838396,159.655260,-56.547285,-90.595866,-14.204405
50.945434,-4.259540,160.619238,-58.081330,-90.440623,-14.406601
50.622387,-3.628894,161.466872,-59.567948,-90.275531,-14.581960
50.351157,-2.946630,162.195028,-61.003383,-90.101114,-14.729334
50.134560,-2.212923,162.800574,-62.383880,-89.917897,-14.847578
49.975413,-1.427948,163.280375,-63.705682,-89.726402,-14.935544
49.876492,-0.591915,163.631404,-64.965065,-89.527175,-14.992107
49.837961,0.292618,163.857523,-66.160315,-89.322153,-15.017501
49.855801,1.219329,163.973634,-67.292943,-89.115504,-15.014139
49.925639,2.181601,163.995528,-68.364736,-88.911571,-14.984613
50.044381,3.175182,163.933341,-69.376827,-88.713248,-14.930667
50.210875,4.199412,163.788632,-70.329358,-88.521231,-14.852747
50.424129,5.253930,163.562243,-71.222386,-88.336032,-14.751195
50.683154,6.338372,163.255018,-72.055968,-88.158163,-14.626353
50.986957,7.452378,162.867797,-72.830161,-87.988138,-14.478562
51.334530,8.595564,162.401457,-73.545037,-87.826477,-14.308172
51.723986,9.766616,161.858226,-74.201210,-87.674025,-14.115988
52.152255,10.962957,161.242178,-74.800035,-87.532072,-13.903429
52.616181,12.181917,160.557517,-75.342921,-87.401939,-13.671957
53.112606,13.420827,159.808449,-75.831276,-87.284948,-13.423035
