j1,j2,j3,j4,j5,j6
193.188895,88.056807,110.191770,-108.248572,-89.999989,118.188911
193.189063,87.963502,110.278973,-108.242469,-89.999989,118.189051
193.189146,87.682625,110.542412,-108.225039,-89.999988,118.189234
193.188563,87.214570,110.981017,-108.195619,-89.999983,118.188958
193.188255,86.564152,111.584823,-108.149009,-89.999983,118.188673
193.189272,85.736596,112.343050,-108.079605,-89.999994,118.188904
193.191185,84.738922,113.242367,-107.981132,-90.000011,118.189582
193.191313,83.580883,114.265559,-107.846288,-90.000011,118.189742
193.187152,82.272593,115.394935,-107.667647,-89.999971,118.188467
193.188874,80.830680,116.605626,-107.436296,-89.999989,118.188891
193.167950,79.271258,117.875613,-107.147871,-89.999840,118.180039
193.125111,77.598316,119.197400,-106.799634,-89.999414,118.151133
193.040187,75.813042,120.571417,-106.393206,-89.998710,118.102006
192.867504,73.915728,122.002308,-105.933595,-89.997716,118.037219
192.562468,71.906997,123.494164,-105.425573,-89.996424,117.960666
192.106423,69.794945,125.038243,-104.868330,-89.994858,117.860806
191.506429,67.595077,126.613083,-104.255527,-89.993075,117.710799
190.770645,65.323214,128.196680,-103.580584,-89.991133,117.483149
189.907228,62.995179,129.767028,-102.836925,-89.989093,117.150361
188.924339,60.626794,131.302123,-102.017971,-89.987012,116.684941
187.830135,58.233881,132.779960,-101.117146,-89.984950,116.059392
186.632775,55.832262,134.178533,-100.127871,-89.982966,115.246221
185.339423,53.436248,135.479575,-99.045857,-89.981108,114.223712
183.953063,51.053810,136.680496,-97.876420,-89.979386,112.994409
182.475586,48.691255,137.782819,-96.627392,-89.977800,111.567213
180.908882,46.354893,138.788064,-95.306605,-89.976347,109.951024
179.254841,44.051030,139.697754,-93.921892,-89.975028,108.154745
177.515352,41.785977,140.513410,-92.481085,-89.973840,106.187277
175.692308,39.566041,141.236554,-90.992017,-89.972783,104.057520
173.787596,37.397530,141.868707,-89.462520,-89.971856,101.774377
171.803108,35.286753,142.411390,-87.900427,-89.971057,99.346748
169.740733,33.240018,142.866127,-86.313570,-89.970387,96.783536
167.602363,31.263633,143.234437,-84.709782,-89.969842,94.093641
165.389886,29.363907,143.517844,-83.096895,-89.969423,91.285965
163.105193,27.547148,143.717867,-81.482742,-89.969129,88.369409
160.750174,25.819665,143.836030,-79.875155,-89.968957,85.352875
158.326719,24.187765,143.873853,-78.281967,-89.968908,82.245264
155.836718,22.657757,143.832859,-76.711010,-89.968980,79.055476
153.282062,21.235949,143.714569,-75.170116,-89.969173,75.792415
150.664641,19.928650,143.520504,-73.667119,-89.969484,72.464981
147.986344,18.742168,143.252186,-72.209850,-89.969913,69.082075
145.249062,17.682811,142.911137,-70.806142,-89.970459,65.652598
142.454685,16.756886,142.498879,-69.463828,-89.971121,62.185453
139.606314,15.969030,142.017752,-68.189898,-89.971895,58.690201
136.710663,15.318872,141.472542,-66.988831,-89.972774,55.178377
133.775125,14.805109,140.868495,-65.864633,-89.973746,51.661884
130.807089,14.426438,140.210853,-64.821314,-89.974802,48.152627
127.813948,14.181556,139.504861,-63.862880,-89.975931,44.662507
