j1,j2,j3,j4,j5,j6
159.833216,86.109438,103.048683,-99.158118,-90.000009,174.833226
159.832982,86.084795,103.070289,-99.155083,-90.000010,174.833047
159.833088,86.010944,103.135012,-99.145962,-90.000016,174.833427
159.833242,85.887488,103.243364,-99.130854,-90.000013,174.833445
159.832974,85.714055,103.395839,-99.109868,-89.999989,174.831987
159.832343,85.491190,103.591882,-99.083000,-89.999950,174.829449
159.831687,85.219923,103.830386,-99.050193,-89.999914,174.827018
159.831347,84.901287,104.110236,-99.011389,-89.999898,174.825890
159.831663,84.536316,104.430323,-98.966529,-89.999919,174.827259
159.832975,84.126041,104.789532,-98.915555,-89.999996,174.832319
159.835463,83.671573,105.186588,-98.858308,-90.000136,174.841679
159.838387,83.174453,105.619268,-98.794059,-90.000299,174.852586
159.840678,82.636375,106.085014,-98.721877,-90.000426,174.861089
159.841267,82.059036,106.581267,-98.640829,-90.000458,174.863237
159.839085,81.444130,107.105469,-98.549981,-90.000336,174.855078
159.833065,80.793355,107.655060,-98.448403,-90.000001,174.832662
159.825808,80.108702,108.226371,-98.334582,-89.999596,174.805583
159.830432,79.393223,108.811787,-98.204810,-89.999842,174.822427
159.830807,78.649553,109.405401,-98.054810,-89.999888,174.825359
159.806542,77.879061,110.004606,-97.882103,-89.998684,174.740816
159.753558,77.080816,110.608439,-97.684803,-89.996234,174.570802
159.670383,76.255854,111.216974,-97.464005,-89.992528,174.300421
159.556237,75.406281,111.830748,-97.222294,-89.987515,173.903508
159.409940,74.534093,112.450174,-96.962029,-89.981156,173.354763
159.223645,73.639475,113.073592,-96.681886,-89.973578,172.643339
158.984009,72.721114,113.697639,-96.377507,-89.965046,171.770292
158.677528,71.777654,114.318901,-96.044442,-89.955831,170.737035
158.290695,70.807741,114.933961,-95.678239,-89.946202,169.544978
157.810007,69.810017,115.539405,-95.274450,-89.936430,168.195532
157.221958,68.783126,116.131818,-94.828625,-89.926783,166.690110
156.513042,67.725714,116.707785,-94.336314,-89.917531,165.030122
155.673249,66.637378,117.264498,-93.794567,-89.908895,163.217335
154.705077,65.521140,117.801319,-93.205807,-89.900907,161.254789
153.613828,64.380783,118.318098,-92.573659,-89.893563,159.145806
152.404799,63.220092,118.814683,-91.901750,-89.886856,156.893711
151.083292,62.042854,119.290923,-91.193704,-89.880780,154.501826
149.654606,60.852852,119.746667,-90.453148,-89.875330,151.973476
148.124041,59.653872,120.181765,-89.683705,-89.870498,149.311984
146.496896,58.449699,120.596064,-88.889003,-89.866280,146.520674
144.778471,57.244118,120.989414,-88.072666,-89.862669,143.602869
142.974065,56.040913,121.361664,-87.238319,-89.859659,140.561894
141.088979,54.843871,121.712663,-86.389589,-89.857245,137.401070
139.128513,53.656775,122.042259,-85.530100,-89.855419,134.123723
137.097965,52.483411,122.350302,-84.663479,-89.854176,130.733176
135.002636,51.327565,122.636640,-83.793350,-89.853511,127.232752
132.847826,50.193020,122.901122,-82.923339,-89.853416,123.625775
130.638833,49.083563,123.143597,-82.057071,-89.853887,119.915568
128.380959,48.002977,123.363915,-81.198173,-89.854916,116.105456
126.079501,46.955049,123.561923,-80.350268,-89.856498,112.198761
123.739762,45.943562,123.737472,-79.516984,-89.858627,108.198808
121.367039,44.972303,123.890409,-78.701944,-89.861297,104.108920
118.966633,44.045056,124.020584,-77.908775,-89.864502,99.932422
116.544386,43.165172,124.128044,-77.140856,-89.868227,95.674602
114.107744,42.334717,124.213423,-76.400836,-89.872430,91.346588
111.664455,41.555515,124.277464,-75.691229,-89.877063,86.960584
109.222263,40.829395,124.320911,-75.014549,-89.882082,82.528794
106.788915,40.158183,124.344506,-74.373310,-89.887438,78.063424
104.372154,39.543704,124.348993,-73.770026,-89.893084,73.576678
101.979728,38.987787,124.335116,-73.207212,-89.898975,69.080763
99.619382,38.492256,124.303616,-72.687381,-89.905064,64.587882
97.298861,38.058940,124.255239,-72.213048,-89.911302,60.110240
95.025910,37.689663,124.190725,-71.786726,-89.917645,55.660043
92.808276,37.386254,124.110820,-71.410929,-89.924045,51.249496
90.653703,37.150538,124.016265,-71.088172,-89.930454,46.890803
88.569938,36.984342,123.907805,-70.820969,-89.936828,42.596170
86.564726,36.889492,123.786182,-70.611833,-89.943118,38.377801
84.645812,36.867816,123.652139,-70.463279,-89.949277,34.247901
82.820941,36.921139,123.506421,-70.377821,-89.955260,30.218676
81.097861,37.051288,123.349769,-70.357972,-89.961020,26.302330
79.484315,37.260090,123.182927,-70.406247,-89.966509,22.511069
77.988050,37.549370,123.006639,-70.525161,-89.971680,18.857096
76.616811,37.920957,122.821646,-70.717226,-89.976488,15.352619
75.378336,38.376664,122.628695,-70.984946,-89.980885,12.009864
74.277866,38.913885,122.429017,-71.326908,-89.984836,8.849645
73.314450,39.519068,122.225052,-71.731995,-89.988332,5.914038
72.486195,40.176995,122.019423,-72.187615,-89.991368,3.248355
71.791211,40.872448,121.814753,-72.681176,-89.993941,0.897907
71.227603,41.590207,121.613667,-73.200085,-89.996047,-1.091995
70.793481,42.315055,121.418787,-73.731751,-89.997680,-2.676038
70.486952,43.031773,121.232737,-74.263580,-89.998837,-3.808911
70.304478,43.725672,121.057986,-74.783363,-89.999521,-4.455724
70.220233,44.389233,120.894902,-75.284083,-89.999830,-4.722675
70.193764,45.023220,120.741617,-75.764838,-89.999925,-4.801230
70.190936,45.642010,120.593087,-76.235080,-89.999935,-4.809327
70.191047,46.241222,120.448953,-76.690157,-89.999934,-4.809037
70.191325,46.815334,120.310324,-77.125642,-89.999934,-4.808541
70.191362,47.364027,120.177151,-77.541162,-89.999934,-4.808511
70.191272,47.886888,120.049204,-77.936074,-89.999934,-4.808705
