j1,j2,j3,j4,j5,j6
193.188895,-6.375576,120.137932,-23.762342,-89.999962,118.188911
193.188933,-6.399765,120.091193,-23.691407,-89.999966,118.188893
193.189049,-6.472914,119.950510,-23.477574,-89.999966,118.189004
193.188250,-6.596853,119.714398,-23.117598,-89.999923,118.188786
193.187046,-6.768074,119.385306,-22.617388,-89.999864,118.188378
193.186664,-6.980638,118.967476,-21.987021,-89.999848,118.188204
193.188335,-7.228597,118.465156,-21.236590,-89.999936,118.188695
193.192750,-7.505695,117.882985,-20.376930,-90.000160,118.190102
193.197225,-7.803753,117.228047,-19.423543,-90.000385,118.191559
193.197761,-8.113841,116.508380,-18.393746,-90.000409,118.191769
193.190356,-8.427028,115.732023,-17.304859,-90.000031,118.189432
193.180323,-8.732901,114.909070,-16.176923,-89.999520,118.186243
193.188230,-9.016145,114.057931,-15.041838,-89.999924,118.188635
193.146354,-9.271585,113.187747,-13.919666,-89.997975,118.174777
193.059610,-9.497606,112.301548,-12.817450,-89.993190,118.133663
192.897056,-9.694625,111.399020,-11.734134,-89.985541,118.066851
192.597576,-9.864208,110.478169,-10.664856,-89.974841,117.981286
192.103841,-10.007565,109.537640,-9.606018,-89.960960,117.882175
191.402988,-10.121738,108.583529,-8.568790,-89.944426,117.754404
190.510881,-10.201076,107.626746,-7.573882,-89.926195,117.569730
189.443863,-10.239884,106.678281,-6.642164,-89.907230,117.299692
188.218277,-10.232467,105.749126,-5.794504,-89.888492,116.915826
186.850468,-10.173130,104.850270,-5.051772,-89.870945,116.389672
185.356780,-10.056177,103.992705,-4.434839,-89.855551,115.692766
183.753415,-9.875988,103.187308,-3.964304,-89.843260,114.797041
182.051238,-9.629767,102.440705,-3.650651,-89.834538,113.689359
180.254263,-9.318349,101.754060,-3.491374,-89.829235,112.375739
178.366054,-8.942802,101.128179,-3.483114,-89.827158,110.863459
176.390176,-8.504198,100.563871,-3.622514,-89.828114,109.159796
174.330194,-8.003606,100.061941,-3.906216,-89.831911,107.272026
172.189672,-7.442098,99.623197,-4.330862,-89.838356,105.207426
169.972174,-6.820743,99.248446,-4.893095,-89.847258,102.973273
167.681266,-6.140612,98.938494,-5.589556,-89.858422,100.576843
165.320512,-5.402775,98.694149,-6.416889,-89.871659,98.025415
162.893477,-4.608303,98.516218,-7.371735,-89.886774,95.326264
160.403724,-3.758266,98.405506,-8.450736,-89.903575,92.486667
157.854819,-2.853735,98.362823,-9.650534,-89.921870,89.513902
155.250327,-1.895779,98.388973,-10.967773,-89.941466,86.415244
152.593811,-0.885470,98.484765,-12.399093,-89.962172,83.197972
149.888837,0.176122,98.651005,-13.941138,-89.983794,79.869362
147.138969,1.287928,98.888500,-15.590549,-90.006140,76.436690
144.347772,2.448876,99.198057,-17.343969,-90.029018,72.907234
141.518809,3.657897,99.580483,-19.198040,-90.052236,69.288270
