j1,j2,j3,j4,j5,j6
141.767119,87.713166,75.293198,-73.006362,-90.000071,156.767130
141.766867,87.686385,75.318404,-73.004785,-90.000071,156.766950
141.767005,87.606047,75.393982,-73.000021,-90.000071,156.767349
141.767124,87.472008,75.520486,-72.992492,-90.000071,156.767104
141.766764,87.284171,75.698173,-72.982367,-90.000070,156.765193
141.766151,87.042687,75.925923,-72.968664,-90.000069,156.762594
141.765666,86.747761,76.202305,-72.950142,-90.000068,156.760736
141.765688,86.399598,76.525891,-72.925560,-90.000068,156.761051
141.766598,85.998405,76.895248,-72.893677,-90.000070,156.764969
141.768692,85.544426,77.308910,-72.853256,-90.000073,156.773580
141.771352,85.038294,77.765016,-72.803101,-90.000078,156.784375
141.773408,84.480883,78.261468,-72.742044,-90.000081,156.792665
141.773685,83.873069,78.796164,-72.668913,-90.000082,156.793729
141.771006,83.215727,79.367004,-72.582541,-90.000077,156.782851
141.764358,82.509758,79.971873,-72.481761,-90.000066,156.755965
141.761439,81.757333,80.608060,-72.365667,-90.000059,156.743877
141.767129,80.961994,81.272464,-72.234449,-90.000064,156.767119
141.754328,80.125878,81.963373,-72.089780,-90.000039,156.718926
141.711568,79.248665,82.680977,-71.931814,-89.999975,156.573721
141.637704,78.330710,83.425109,-71.760715,-89.999873,156.324201
141.540891,77.374940,84.193954,-71.577644,-89.999732,155.943059
141.428288,76.384173,84.985783,-71.383725,-89.999549,155.403481
141.289961,75.358830,85.800613,-71.179264,-89.999330,154.692433
141.103351,74.297561,86.639750,-70.963961,-89.999084,153.807052
140.845607,73.198975,87.504532,-70.737501,-89.998819,152.744711
140.493876,72.061681,88.396295,-70.499571,-89.998546,151.502784
140.025306,70.884287,89.316376,-70.249855,-89.998273,150.078646
139.417045,69.665403,90.266111,-69.988040,-89.998010,148.469671
138.649314,68.404315,91.246392,-69.714068,-89.997765,146.674025
137.722578,67.104770,92.255165,-69.429572,-89.997540,144.695093
136.645484,65.772320,93.289192,-69.136869,-89.997334,142.538371
135.426705,64.412522,94.345229,-68.838276,-89.997149,140.209361
134.074912,63.030934,95.420030,-68.536113,-89.996983,137.713564
132.598778,61.633111,96.510352,-68.232698,-89.996836,135.056481
131.006975,60.224610,97.612952,-67.930350,-89.996708,132.243615
129.308174,58.810990,98.724586,-67.631386,-89.996599,129.280466
127.511048,57.397805,99.842009,-67.338125,-89.996508,126.172536
125.624268,55.990614,100.961977,-67.052887,-89.996436,122.925328
123.656507,54.594974,102.081247,-66.777989,-89.996383,119.544342
121.616436,53.216440,103.196575,-66.515749,-89.996347,116.035080
119.512728,51.860570,104.304716,-66.268487,-89.996329,112.403043
117.354054,50.532921,105.402428,-66.038521,-89.996329,108.653733
115.149086,49.239050,106.486465,-65.828169,-89.996346,104.792653
112.906497,47.984513,107.553584,-65.639750,-89.996380,100.825302
110.634958,46.774867,108.600541,-65.475582,-89.996431,96.757183
108.343142,45.615670,109.624093,-65.337984,-89.996499,92.593797
106.039719,44.512478,110.620995,-65.229273,-89.996584,88.340647
103.733460,43.470352,111.588213,-65.151491,-89.996684,84.004926
101.433512,42.492397,112.523544,-65.105575,-89.996800,79.600516
99.149120,41.581231,113.424989,-65.092193,-89.996928,75.142945
96.889526,40.739478,114.290550,-65.112012,-89.997068,70.647742
94.663975,39.969758,115.118228,-65.165698,-89.997218,66.130437
92.481709,39.274691,115.906023,-65.253920,-89.997377,61.606557
90.351971,38.656899,116.651937,-65.377344,-89.997542,57.091633
88.284006,38.119003,117.353970,-65.536638,-89.997712,52.601192
86.287055,37.663623,118.010126,-65.732468,-89.997886,48.150765
84.370364,37.293381,118.618403,-65.965502,-89.998061,43.755880
82.543174,37.010897,119.176804,-66.236407,-89.998237,39.432066
80.814729,36.818793,119.683330,-66.545850,-89.998412,35.194853
79.194273,36.719690,120.135982,-66.894499,-89.998584,31.059768
77.691049,36.716208,120.532760,-67.283020,-89.998751,27.042341
76.314300,36.810968,120.871667,-67.712081,-89.998913,23.158102
75.073269,37.006592,121.150704,-68.182349,-89.999067,19.422578
73.977200,37.305700,121.367871,-68.694491,-89.999211,15.851299
73.035337,37.710913,121.521169,-69.249174,-89.999345,12.459794
72.256895,38.224832,121.608612,-69.847055,-89.999466,9.263619
71.642843,38.843489,121.631639,-70.485643,-89.999574,6.286528
71.174267,39.547088,121.599953,-71.154854,-89.999668,3.572044
70.829315,40.313497,121.524479,-71.843484,-89.999747,1.166605
70.586137,41.120581,121.416140,-72.540329,-89.999813,-0.883346
70.422881,41.946207,121.285860,-73.234185,-89.999864,-2.531371
70.317696,42.768242,121.144562,-73.913849,-89.999900,-3.731028
70.249012,43.564745,121.002983,-74.568119,-89.999922,-4.438722
70.206611,44.321578,120.864263,-75.185933,-89.999931,-4.726134
70.192168,45.038663,120.722754,-75.761417,-89.999934,-4.803265
70.191024,45.735087,120.579341,-76.314413,-89.999934,-4.809312
70.191142,46.403807,120.437486,-76.841276,-89.999934,-4.808861
70.191247,47.039384,120.297936,-77.337302,-89.999934,-4.808596
70.191231,47.641222,120.160894,-77.802099,-89.999934,-4.808682
70.191171,48.208567,120.026567,-78.235116,-89.999934,-4.808862
70.191114,48.740065,119.895660,-78.635708,-89.999934,-4.808982
70.191068,49.233518,119.769586,-79.003087,-89.999934,-4.809043
70.191036,49.686659,119.649814,-79.336456,-89.999934,-4.809056
70.191022,50.097222,119.537813,-79.635017,-89.999934,-4.809033
70.191030,50.462939,119.435051,-79.897972,-89.999934,-4.808984
70.191063,50.781609,119.342976,-80.124567,-89.999934,-4.808921
70.191116,51.052600,119.262527,-80.315110,-89.999934,-4.808855
70.191174,51.276906,119.194119,-80.471007,-89.999934,-4.808796
70.191224,51.455594,119.138139,-80.593715,-89.999934,-4.808754
70.191250,51.589732,119.094977,-80.684692,-89.999934,-4.808738
70.191238,51.680390,119.065022,-80.745394,-89.999934,-4.808759
70.191177,51.729250,119.048445,-80.777678,-89.999934,-4.808822
70.191121,51.746796,119.042328,-80.789107,-89.999934,-4.808878
70.191111,51.749284,119.041455,-80.790722,-89.999934,-4.808888
