j1,j2,j3,j4,j5,j6
146.319031,86.109459,103.048669,-99.158125,-90.000078,161.319041
146.318959,86.054385,103.097894,-99.152276,-90.000078,161.319018
146.319037,85.888817,103.246096,-99.134910,-90.000078,161.319096
146.318925,85.611732,103.494832,-99.106561,-90.000078,161.318464
146.318694,85.225047,103.841127,-99.066171,-90.000078,161.317549
146.318617,84.731937,104.280074,-99.012009,-90.000078,161.317333
146.318969,84.135583,104.806758,-98.942337,-90.000078,161.318801
146.319881,83.439484,105.415797,-98.855278,-90.000078,161.322401
146.320753,82.648818,106.099399,-98.748214,-90.000078,161.325797
146.320749,81.769300,106.848988,-98.618285,-90.000078,161.325754
146.319031,80.806649,107.655990,-98.462636,-90.000078,161.319034
146.317474,79.768122,108.509643,-98.277762,-90.000078,161.312872
146.318484,78.665306,109.393208,-98.058510,-90.000078,161.317286
146.307625,77.504114,110.298349,-97.802458,-90.000077,161.278471
146.276900,76.284657,111.222354,-97.507012,-90.000077,161.193776
146.230409,75.008613,112.165957,-97.174578,-90.000077,161.046812
146.176031,73.678371,113.130930,-96.809315,-90.000077,160.813952
146.118667,72.296407,114.117942,-96.414368,-90.000077,160.472840
146.043518,70.865786,115.120365,-95.986177,-90.000077,160.009543
145.927781,69.389811,116.128604,-95.518456,-90.000076,159.413550
145.748629,67.871786,117.133057,-95.004911,-90.000076,158.674360
145.483234,66.315013,118.124121,-94.439248,-90.000075,157.781470
145.108770,64.722797,119.092192,-93.815174,-90.000074,156.724381
144.602410,63.098440,120.027668,-93.126396,-90.000072,155.492589
143.942714,61.445372,120.921387,-92.367185,-90.000070,154.076278
143.125510,59.768580,121.769682,-91.538863,-90.000067,152.474136
142.158329,58.074111,122.572608,-90.647527,-90.000063,150.690615
141.048922,56.368029,123.330291,-89.699366,-90.000059,148.730277
139.805041,54.656399,124.042858,-88.700566,-90.000055,146.597684
138.434439,52.945286,124.710434,-87.657317,-90.000050,144.297398
136.944867,51.240757,125.333145,-86.575806,-90.000045,141.833981
135.344077,49.548875,125.911118,-85.462221,-90.000040,139.211995
133.639822,47.875707,126.444479,-84.322750,-90.000034,136.436002
131.839854,46.227317,126.933353,-83.163582,-90.000028,133.510565
129.951924,44.609771,127.377868,-81.990904,-90.000022,130.440244
127.983785,43.029133,127.778148,-80.810904,-90.000015,127.229603
125.943189,41.491469,128.134321,-79.629770,-90.000009,123.883202
123.837887,40.002845,128.446511,-78.453690,-90.000002,120.405605
121.675632,38.569325,128.714846,-77.288853,-89.999996,116.801372
119.464176,37.196975,128.939452,-76.141446,-89.999989,113.075067
117.211271,35.891859,129.120453,-75.017657,-89.999982,109.231251
114.924669,34.660044,129.257978,-73.923675,-89.999976,105.274485
112.612122,33.507593,129.352151,-72.865687,-89.999969,101.209333
110.281382,32.440574,129.403098,-71.849881,-89.999963,97.040356
107.940251,31.464793,129.411058,-70.882300,-89.999957,92.772673
105.597072,30.583268,129.377478,-69.967409,-89.999951,88.417458
103.260522,29.797307,129.304549,-69.108702,-89.999945,83.989601
100.939281,29.108190,129.194472,-68.309661,-89.999940,79.504042
