j1,j2,j3,j4,j5,j6
171.155607,87.713166,75.293198,-73.006362,-90.000091,-173.844379
171.155637,87.645667,75.356012,-73.001674,-90.000091,-173.844420
171.155557,87.442671,75.545398,-72.988069,-90.000091,-173.844376
171.155252,87.103696,75.862105,-72.965833,-90.000092,-173.843849
171.155050,86.631245,76.300691,-72.931993,-90.000092,-173.843436
171.155362,86.028378,76.854575,-72.882978,-90.000092,-173.843922
171.156493,85.298323,77.516965,-72.815190,-90.000090,-173.845901
171.157657,84.446123,78.278878,-72.724776,-90.000089,-173.847983
171.157417,83.477898,79.130032,-72.607730,-90.000090,-173.847596
171.154443,82.399835,80.060082,-72.460039,-90.000092,-173.842355
171.155187,81.222307,81.055250,-72.277593,-90.000092,-173.843694
171.150004,79.957545,82.101638,-72.059784,-90.000096,-173.833556
171.126637,78.608559,83.195325,-71.807053,-90.000118,-173.792126
171.082749,77.176275,84.335446,-71.519425,-90.000156,-173.715800
171.010077,75.662409,85.522276,-71.198965,-90.000212,-173.582050
170.900140,74.068717,86.756117,-70.847805,-90.000285,-173.367687
170.743747,72.398756,88.034918,-70.467378,-90.000375,-173.053510
170.530214,70.659881,89.351653,-70.057639,-90.000480,-172.628746
170.248668,68.859932,90.698666,-69.618355,-90.000595,-172.083691
169.888234,67.006750,92.068301,-69.149290,-90.000716,-171.408642
169.438037,65.108172,93.452901,-68.650213,-90.000841,-170.593896
168.887204,63.172040,94.844809,-68.120890,-90.000965,-169.629749
168.224861,61.206192,96.236368,-67.561086,-90.001084,-168.506498
167.440984,59.218384,97.620249,-66.970835,-90.001197,-167.215203
166.534164,57.215512,98.992421,-66.352862,-90.001300,-165.754651
165.508004,55.203975,100.350775,-65.711458,-90.001395,-164.128119
164.366165,53.190165,101.693222,-65.050934,-90.001480,-162.338939
163.112310,51.180473,103.017677,-64.375600,-90.001558,-160.390446
161.750101,49.181292,104.322053,-63.689768,-90.001627,-158.285972
160.283201,47.199013,105.604262,-62.997747,-90.001687,-156.028851
158.715273,45.240029,106.862219,-62.303849,-90.001740,-153.622416
157.049979,43.310731,108.093837,-61.612384,-90.001784,-151.069999
155.290981,41.417512,109.297027,-60.927662,-90.001821,-148.374935
153.441942,39.566763,110.469705,-60.253994,-90.001849,-145.540556
151.506525,37.764876,111.609783,-59.595692,-90.001869,-142.570195
149.488392,36.018244,112.715174,-58.957064,-90.001882,-139.467186
147.391206,34.333258,113.783792,-58.342423,-90.001888,-136.234862
145.218629,32.716311,114.813549,-57.756078,-90.001885,-132.876556
142.974324,31.173793,115.802360,-57.202340,-90.001876,-129.395601
140.661954,29.712098,116.748136,-56.685520,-90.001859,-125.795330
138.285180,28.337617,117.648792,-56.209929,-90.001835,-122.079076
135.847665,27.056742,118.502241,-55.779877,-90.001804,-118.250174
133.353072,25.875866,119.306396,-55.399674,-90.001766,-114.311955
130.805064,24.801379,120.059170,-55.073631,-90.001721,-110.267753
128.207779,23.839095,120.758728,-54.805738,-90.001669,-106.121887
125.568527,22.990971,121.404908,-54.597844,-90.001611,-101.885227
122.895906,22.257394,121.998233,-54.450929,-90.001547,-97.571316
120.198524,21.638744,122.539224,-54.365966,-90.001479,-93.193705
117.484983,21.135404,123.028404,-54.343933,-90.001406,-88.765945
114.763890,20.747753,123.466298,-54.385804,-90.001330,-84.301588
112.043848,20.476175,123.853428,-54.492555,-90.001250,-79.814183
109.333462,20.321049,124.190318,-54.665162,-90.001168,-75.317283
106.641337,20.282758,124.477489,-54.904600,-90.001084,-70.824437
103.976078,20.361682,124.715466,-55.211845,-90.000999,-66.349197
101.346289,20.558203,124.904772,-55.587873,-90.000913,-61.905114
98.760575,20.872702,125.045930,-56.033658,-90.000828,-57.505739
96.227541,21.305561,125.139462,-56.550178,-90.000743,-53.164622
93.755792,21.857160,125.185893,-57.138406,-90.000660,-48.895316
91.353932,22.527882,125.185744,-57.799319,-90.000578,-44.711370
89.030566,23.318107,125.139540,-58.533892,-90.000499,-40.626335
86.794298,24.228216,125.047804,-59.343102,-90.000423,-36.653763
84.653734,25.258592,124.911057,-60.227922,-90.000352,-32.807205
82.617478,26.409615,124.729825,-61.189330,-90.000284,-29.100211
80.694134,27.681666,124.504629,-62.228301,-90.000222,-25.546333
78.892308,29.075128,124.235993,-63.345809,-90.000166,-22.159121
77.221515,30.585601,123.925892,-64.539497,-90.000116,-18.956616
75.695363,32.187206,123.582824,-65.792015,-90.000072,-15.977036
74.328608,33.848033,123.217120,-67.081810,-90.000034,-13.264265
73.136008,35.536171,122.839111,-68.387323,-90.000003,-10.862186
72.132320,37.219708,122.459128,-69.686999,-89.999978,-8.814684
71.332301,38.866733,122.087501,-70.959282,-89.999958,-7.165643
70.750708,40.445336,121.734562,-72.182615,-89.999945,-5.958946
70.400644,41.923690,121.410429,-73.335312,-89.999938,-5.234699
70.245785,43.272508,121.118909,-74.391800,-89.999935,-4.920051
70.196824,44.475055,120.855533,-75.330652,-89.999934,-4.821410
70.191113,45.590805,120.607366,-76.198154,-89.999934,-4.808764
70.191116,46.636010,120.371294,-77.007284,-89.999934,-4.808818
70.191026,47.582987,120.152152,-77.735125,-89.999934,-4.809077
70.191040,48.430697,119.949943,-78.380623,-89.999934,-4.808960
70.191089,49.177737,119.764793,-78.942510,-89.999934,-4.808840
70.191140,49.824351,119.598077,-79.422408,-89.999934,-4.808785
70.191175,50.371193,119.451487,-79.822661,-89.999934,-4.808783
70.191173,50.818918,119.326711,-80.145611,-89.999934,-4.808824
70.191122,51.169118,119.225154,-80.394256,-89.999934,-4.808895
70.191049,51.428312,119.146727,-80.575022,-89.999934,-4.808968
