j1,j2,j3,j4,j5,j6
173.262228,85.686640,99.814175,-95.500818,-90.000057,-171.737758
173.262269,85.623602,99.870091,-95.493695,-90.000057,-171.737790
173.262219,85.434000,100.038591,-95.472594,-90.000057,-171.737776
173.261911,85.116977,100.320962,-95.437941,-90.000057,-171.737259
173.261621,84.675160,100.712866,-95.388028,-90.000057,-171.736719
173.261743,84.112119,101.208445,-95.320566,-90.000057,-171.736894
173.262657,83.431445,101.801815,-95.233263,-90.000057,-171.738501
173.264082,82.637902,102.485652,-95.123557,-90.000057,-171.741050
173.264735,81.738020,103.250462,-94.988485,-90.000057,-171.742235
173.263251,80.738473,104.086574,-94.825050,-90.000057,-171.739599
173.259847,79.646622,104.983536,-94.630158,-90.000057,-171.733526
173.262156,78.475607,105.924654,-94.400250,-90.000057,-171.737599
173.250788,77.234779,106.899404,-94.134153,-90.000057,-171.716189
173.221174,75.925752,107.904387,-93.830088,-90.000057,-171.665152
173.169000,74.549497,108.939602,-93.489021,-90.000057,-171.574150
173.086383,73.107211,110.007004,-93.114101,-90.000057,-171.420971
172.965405,71.600152,111.108419,-92.708413,-90.000056,-171.183520
172.797235,70.031999,112.240381,-92.272169,-90.000056,-170.845865
172.571850,68.409593,113.392499,-91.801826,-90.000056,-170.400126
172.279145,66.739989,114.553915,-91.293588,-90.000056,-169.838969
171.909016,65.030242,115.713770,-90.743659,-90.000055,-169.155059
171.451358,63.287408,116.861206,-90.148244,-90.000054,-168.341062
170.896067,61.518540,117.985365,-89.503544,-90.000053,-167.389643
170.233037,59.730694,119.075387,-88.805765,-90.000052,-166.293469
169.452851,57.930822,120.120967,-88.051557,-90.000050,-165.045710
168.553911,56.124684,121.118099,-87.242678,-90.000047,-163.645317
167.539597,54.317284,122.066789,-86.384133,-90.000044,-162.094918
166.413371,52.513616,122.967106,-85.480982,-90.000040,-160.397199
165.178693,50.718670,123.819119,-84.538282,-90.000036,-158.554846
163.839023,48.937440,124.622898,-83.561093,-90.000032,-156.570546
162.397822,47.174917,125.378511,-82.554472,-90.000028,-154.446985
160.858550,45.436094,126.086030,-81.523477,-90.000023,-152.186850
159.224669,43.725963,126.745522,-80.473168,-90.000017,-149.792828
157.499639,42.049515,127.357058,-79.408603,-90.000012,-147.267604
155.686920,40.411744,127.920706,-78.334840,-90.000006,-144.613865
153.789973,38.817641,128.436536,-77.256938,-90.000001,-141.834298
151.812258,37.272199,128.904618,-76.179955,-89.999995,-138.931589
149.757237,35.780409,129.325020,-75.108949,-89.999989,-135.908425
147.628370,34.347265,129.697813,-74.048979,-89.999983,-132.767492
145.429117,32.977757,130.023065,-73.005104,-89.999976,-129.511476
143.162939,31.676879,130.300847,-71.982382,-89.999970,-126.143065
140.833297,30.449623,130.531227,-70.985871,-89.999964,-122.664944
138.443651,29.300980,130.714274,-70.020629,-89.999958,-119.079799
135.997462,28.235943,130.850059,-69.091716,-89.999952,-115.390319
133.498190,27.259504,130.938650,-68.204189,-89.999947,-111.599188
130.949304,26.376647,130.980121,-67.363103,-89.999941,-107.709108
128.355604,25.590944,130.975198,-66.572752,-89.999936,-103.725522
125.724772,24.902909,130.926021,-65.835791,-89.999930,-99.659790
123.064862,24.312664,130.834913,-65.154661,-89.999926,-95.524040
120.383931,23.820326,130.704195,-64.531801,-89.999921,-91.330403
117.690032,23.426016,130.536191,-63.969654,-89.999916,-87.091008
114.991223,23.129853,130.333223,-63.470659,-89.999912,-82.817986
112.295557,22.931956,130.097615,-63.037258,-89.999909,-78.523465
109.611091,22.832445,129.831688,-62.671892,-89.999905,-74.219576
106.945880,22.831438,129.537767,-62.377000,-89.999902,-69.918447
104.307978,22.929056,129.218173,-62.155024,-89.999899,-65.632210
101.705442,23.125417,128.875229,-62.008405,-89.999897,-61.372994
99.146326,23.420641,128.511258,-61.939583,-89.999895,-57.152928
96.638686,23.814847,128.128583,-61.951000,-89.999893,-52.984142
94.190578,24.308155,127.729526,-62.045095,-89.999892,-48.878766
91.810056,24.900683,127.316411,-62.224311,-89.999892,-44.848929
89.505176,25.592552,126.891560,-62.491086,-89.999892,-40.906762
87.283993,26.383881,126.457295,-62.847864,-89.999892,-37.064394
85.154563,27.274788,126.015940,-63.297083,-89.999893,-33.333954
83.124940,28.265394,125.569817,-63.841185,-89.999894,-29.727574
81.203181,29.355818,125.121250,-64.482610,-89.999896,-26.257381
79.397341,30.546178,124.672560,-65.223800,-89.999899,-22.935506
77.715872,31.834794,124.226195,-66.065521,-89.999902,-19.776206
76.170673,33.204412,123.785685,-66.994060,-89.999906,-16.812127
74.775402,34.629802,123.355113,-67.988286,-89.999910,-14.085334
73.543736,36.085670,122.938564,-69.027010,-89.999914,-11.637970
72.489349,37.546722,122.540128,-70.089042,-89.999918,-9.512179
71.625914,38.987664,122.163890,-71.153193,-89.999922,-7.750101
70.967109,40.383200,121.813938,-72.198272,-89.999926,-6.393879
70.526605,41.708038,121.494360,-73.203089,-89.999929,-5.485655
