j1,j2,j3,j4,j5,j6
193.188895,88.056807,110.191770,-108.248572,-89.999989,118.188911
193.188989,87.997648,110.247057,-108.244699,-89.999989,118.188986
193.189215,87.819836,110.413551,-108.233383,-89.999989,118.189221
193.188955,87.522605,110.692665,-108.215284,-89.999986,118.189162
193.188453,87.107726,111.080689,-108.188451,-89.999983,118.188890
193.188252,86.577823,111.572204,-108.150062,-89.999983,118.188676
193.188894,85.935519,112.161789,-108.097292,-89.999990,118.188787
193.190422,85.184043,112.843161,-108.027092,-90.000004,118.189296
193.191594,84.328185,113.607818,-107.935824,-90.000014,118.189757
193.190959,83.372987,114.446903,-107.819759,-90.000007,118.189646
193.187331,82.323580,115.351453,-107.675140,-89.999972,118.188523
193.188458,81.188860,116.308319,-107.497211,-89.999983,118.188899
193.181839,79.978527,117.304298,-107.283132,-89.999942,118.185869
193.154844,78.695459,118.335017,-107.032289,-89.999722,118.172454
193.116285,77.340912,119.397551,-106.742974,-89.999328,118.145021
193.046786,75.915166,120.493633,-106.417227,-89.998756,118.105188
192.923249,74.418366,121.625616,-106.057580,-89.998002,118.055264
192.722583,72.850662,122.795848,-105.666568,-89.997059,117.997559
192.426951,71.213714,124.004081,-105.245593,-89.995930,117.931254
192.036593,69.514395,125.241121,-104.792167,-89.994638,117.844774
191.555630,67.760693,126.495858,-104.302970,-89.993213,117.724236
190.988180,65.960598,127.757180,-103.774680,-89.991685,117.555757
190.338364,64.122097,129.013979,-103.203976,-89.990084,117.325454
189.610300,62.253181,130.255141,-102.587538,-89.988440,117.019445
188.808108,60.361837,131.469557,-101.922043,-89.986781,116.623846
187.935909,58.456055,132.646116,-101.204171,-89.985139,116.124775
186.997820,56.543824,133.773707,-100.430600,-89.983542,115.508348
185.997843,54.632953,134.841664,-99.598282,-89.982020,114.761372
184.938261,52.728641,135.845773,-98.708119,-89.980584,113.880632
183.820059,50.834123,136.786682,-97.763993,-89.979234,112.870439
182.644191,48.952583,137.665160,-96.769860,-89.977969,111.735286
181.411612,47.087207,138.481976,-95.729673,-89.976790,110.479669
180.123277,45.241180,139.237897,-94.647388,-89.975695,109.108081
178.780140,43.417687,139.933693,-93.526960,-89.974685,107.625018
177.383154,41.619913,140.570130,-92.372343,-89.973757,106.034973
175.933275,39.851043,141.147978,-91.187492,-89.972913,104.342442
174.431457,38.114264,141.668005,-89.976361,-89.972151,102.551918
172.878654,36.412759,142.130979,-88.742906,-89.971470,100.667897
171.275821,34.749714,142.537669,-87.491082,-89.970871,98.694872
169.623911,33.128315,142.888842,-86.224843,-89.970353,96.637339
167.923880,31.551746,143.185267,-84.948144,-89.969915,94.499791
166.176681,30.023193,143.427712,-83.664939,-89.969556,92.286724
164.383270,28.545841,143.616947,-82.379185,-89.969277,90.002631
162.544599,27.122875,143.753738,-81.094834,-89.969076,87.652007
160.661625,25.757481,143.838854,-79.815843,-89.968953,85.239348
158.735300,24.452843,143.873064,-78.546166,-89.968908,82.769146
156.766580,23.212147,143.857136,-77.289757,-89.968940,80.245897
154.756419,22.038577,143.791838,-76.050573,-89.969048,77.674095
152.705771,20.935320,143.677938,-74.832566,-89.969232,75.058235
150.615590,19.905561,143.516205,-73.639693,-89.969491,72.402811
148.486831,18.952484,143.307407,-72.475907,-89.969825,69.712317
