j1,j2,j3,j4,j5,j6
113.681614,89.570034,113.430755,-113.000781,-90.000016,38.681630
113.681642,89.511906,113.485838,-112.997743,-90.000017,38.681661
113.681797,89.337029,113.651795,-112.988821,-90.000017,38.681815
113.681564,89.044111,113.930549,-112.974591,-90.000012,38.681553
113.681126,88.636164,114.318592,-112.954603,-90.000007,38.681081
113.680954,88.117866,114.810306,-112.928011,-90.000006,38.680904
113.681517,87.493899,115.400072,-112.893965,-90.000016,38.681533
113.682974,86.769383,116.081189,-112.850910,-90.000038,38.683137
113.684273,85.951161,116.842736,-112.794524,-90.000057,38.684559
113.684062,85.046493,117.672759,-112.719809,-90.000052,38.684319
113.681009,84.062648,118.559285,-112.621759,-90.000006,38.680954
113.679994,83.008413,119.483603,-112.491588,-89.999987,38.679832
113.679235,81.894605,120.416874,-112.311018,-89.999978,38.679063
113.656468,80.725562,121.346544,-112.067470,-89.999703,38.654519
113.607162,79.501354,122.270123,-111.758391,-89.999154,38.601613
113.541227,78.227293,123.191799,-111.393059,-89.998317,38.530161
113.460935,76.907242,124.111571,-110.975419,-89.997198,38.442472
113.341049,75.539084,125.014639,-110.489674,-89.995868,38.313781
113.150910,74.119521,125.883284,-109.916138,-89.994411,38.113993
112.859862,72.645259,126.699789,-109.235125,-89.992911,37.813012
112.437247,71.112999,127.446435,-108.426948,-89.991452,37.380743
111.855917,69.520602,128.107251,-107.474707,-89.990112,36.790550
111.115023,67.874586,128.679341,-106.382381,-89.988913,36.041735
110.225641,66.185394,129.165742,-105.163417,-89.987853,35.145366
109.198910,64.463492,129.569520,-103.831309,-89.986932,34.112565
108.045966,62.719344,129.893740,-102.399553,-89.986146,32.954457
106.777947,60.963414,130.141468,-100.881643,-89.985495,31.682168
105.405989,59.206166,130.315771,-99.291073,-89.984975,30.306820
103.941230,57.458066,130.419714,-97.641338,-89.984587,28.839539
102.394807,55.729578,130.456363,-95.945932,-89.984327,27.291449
100.777857,54.031166,130.428784,-94.218351,-89.984194,25.673674
99.101517,52.373294,130.340044,-92.472088,-89.984187,23.997339
97.376924,50.766427,130.193207,-90.720639,-89.984302,22.273569
95.615217,49.221029,129.991341,-88.977498,-89.984540,20.513487
93.827530,47.747565,129.737510,-87.256159,-89.984897,18.728218
92.025003,46.356498,129.434781,-85.570116,-89.985372,16.928886
90.218995,45.057081,129.086810,-83.932198,-89.985960,15.126821
88.421494,43.855173,128.698903,-82.353360,-89.986648,13.333921
86.644596,42.756041,128.276652,-80.844234,-89.987422,11.562185
84.900395,41.764954,127.825653,-79.415452,-89.988266,9.823611
83.200990,40.887178,127.351499,-78.077645,-89.989167,8.130200
81.558474,40.127981,126.859783,-76.841445,-89.990109,6.493949
79.984945,39.492630,126.356100,-75.717483,-89.991079,4.926857
78.492498,38.986394,125.846042,-74.716390,-89.992061,3.440924
77.093230,38.614539,125.335205,-73.848797,-89.993041,2.048147
75.799236,38.382334,124.829180,-73.125337,-89.994005,0.760527
74.622612,38.295046,124.333564,-72.556641,-89.994937,-0.409939
73.575454,38.357941,123.853948,-72.153339,-89.995823,-1.451251
72.669858,38.576289,123.395927,-71.926063,-89.996650,-2.351411
71.917921,38.955356,122.965095,-71.885446,-89.997401,-3.098420
71.331157,39.499742,122.566940,-72.041348,-89.998062,-3.680858
70.903373,40.193655,122.203765,-72.380164,-89.998626,-4.104974
70.607842,40.997664,121.874172,-72.861075,-89.999090,-4.397505
70.416687,41.871012,121.576561,-73.441740,-89.999452,-4.586334
70.302031,42.772943,121.309327,-74.079816,-89.999710,-4.699345
70.236021,43.662731,121.070869,-74.732991,-89.999863,-4.764398
70.199791,44.510927,120.859200,-75.370085,-89.999923,-4.800270
70.191255,45.321595,120.668635,-75.990230,-89.999934,-4.808744
70.191021,46.110170,120.486138,-76.596288,-89.999934,-4.808978
70.191209,46.862465,120.311079,-77.173530,-89.999934,-4.808790
70.191213,47.577104,120.142908,-77.719996,-89.999934,-4.808786
70.191156,48.253253,119.980001,-78.233235,-89.999934,-4.808843
70.191101,48.886651,119.823036,-78.709667,-89.999934,-4.808898
70.191059,49.470332,119.674528,-79.144841,-89.999934,-4.808940
70.191039,49.997256,119.537040,-79.534278,-89.999934,-4.808960
70.191048,50.460383,119.413136,-79.873501,-89.999934,-4.808951
70.191092,50.853377,119.305216,-80.158576,-89.999934,-4.808907
70.191155,51.174366,119.214656,-80.389005,-89.999934,-4.808844
70.191211,51.423220,119.142431,-80.565634,-89.999934,-4.808788
70.191235,51.599812,119.089514,-80.689309,-89.999934,-4.808764
70.191200,51.704022,119.056879,-80.760883,-89.999934,-4.808799
70.191127,51.743647,119.043451,-80.787081,-89.999934,-4.808872
70.191111,51.749284,119.041455,-80.790722,-89.999934,-4.808888
