j1,j2,j3,j4,j5,j6
180.522911,89.350629,68.277833,-67.628463,-90.000030,-164.477075
180.522910,89.258782,68.366513,-67.625291,-90.000030,-164.477129
180.522779,88.982473,68.634285,-67.616771,-90.000030,-164.477040
180.522537,88.522128,69.079527,-67.601716,-90.000031,-164.476695
180.522613,87.881363,69.692479,-67.573897,-90.000031,-164.476693
180.523429,87.064098,70.462693,-67.526704,-90.000028,-164.477637
180.524419,86.076274,71.377123,-67.453131,-90.000024,-164.478868
180.523964,84.925989,72.419945,-67.345744,-90.000026,-164.478375
180.521380,83.622033,73.574728,-67.197027,-90.000036,-164.475284
180.522299,82.181252,74.819106,-67.000469,-90.000033,-164.476166
180.508328,80.614971,76.139486,-66.757130,-90.000089,-164.457541
180.480270,78.925923,77.532552,-66.466911,-90.000217,-164.418162
180.425043,77.115066,78.998784,-66.131320,-90.000416,-164.343878
180.325382,75.183024,80.539439,-65.752360,-90.000690,-164.216443
180.164988,73.131694,82.154547,-65.332017,-90.001041,-164.017928
179.934891,70.972622,83.834881,-64.872160,-90.001457,-163.732800
179.629476,68.721781,85.566966,-64.374607,-90.001925,-163.346625
179.243147,66.395167,87.337303,-63.841176,-90.002428,-162.844973
178.770309,64.008773,89.132398,-63.273683,-90.002952,-162.213415
178.205363,61.578595,90.938752,-62.673945,-90.003481,-161.437522
177.542716,59.120629,92.742869,-62.043780,-90.004000,-160.502866
176.776806,56.650824,94.531308,-61.385019,-90.004494,-159.395111
175.904632,54.181951,96.294617,-60.700549,-90.004952,-158.106593
174.927413,51.721544,98.029917,-59.994996,-90.005376,-156.640644
173.846760,49.276647,99.734943,-59.273147,-90.005764,-155.001622
172.664284,46.854302,101.407429,-58.539788,-90.006118,-153.193884
171.381597,44.461553,103.045110,-57.799709,-90.006437,-151.221787
170.000310,42.105445,104.645720,-57.057697,-90.006722,-149.089689
168.522034,39.793020,106.206995,-56.318538,-90.006973,-146.801948
166.948381,37.531323,107.726669,-55.587021,-90.007191,-144.362922
165.280963,35.327396,109.202477,-54.867932,-90.007376,-141.776967
163.521390,33.188284,110.632153,-54.166061,-90.007528,-139.048442
161.671275,31.121031,112.013432,-53.486193,-90.007647,-136.181704
159.732227,29.132679,113.344049,-52.833117,-90.007735,-133.181111
157.705860,27.230273,114.621739,-52.211621,-90.007790,-130.051020
155.593785,25.420855,115.844236,-51.626490,-90.007814,-126.795789
153.397612,23.711471,117.009274,-51.082514,-90.007807,-123.419776
151.118953,22.109162,118.114589,-50.584480,-90.007769,-119.927337
148.759420,20.620974,119.157916,-50.137175,-90.007700,-116.322831
146.320624,19.253950,120.136988,-49.745387,-90.007601,-112.610616
143.804176,18.015132,121.049541,-49.413903,-90.007472,-108.795048
141.211688,16.911566,121.893309,-49.147511,-90.007314,-104.880486
138.544953,15.950094,122.666119,-48.950893,-90.007126,-100.871514
135.809417,15.133530,123.367657,-48.826613,-90.006911,-96.777313
133.013918,14.460943,123.999335,-48.775267,-90.006671,-92.611326
130.167423,13.931263,124.562629,-48.797376,-90.006408,-88.387158
127.278899,13.543418,125.059017,-48.893464,-90.006126,-84.118414
124.357313,13.296339,125.489975,-49.064051,-90.005826,-79.818699
121.411631,13.188953,125.856980,-49.309659,-90.005511,-75.501619
118.450820,13.220189,126.161509,-49.630811,-90.005184,-71.180778
115.483847,13.388978,126.405039,-50.028028,-90.004848,-66.869782
112.519679,13.694247,126.589047,-50.501833,-90.004505,-62.582235
109.567282,14.134925,126.715009,-51.052746,-90.004158,-58.331744
106.635623,14.709943,126.784403,-51.681291,-90.003809,-54.131912
103.733668,15.418227,126.798705,-52.387988,-90.003461,-49.996346
100.870385,16.258709,126.759393,-53.173360,-90.003117,-45.938650
98.054740,17.230316,126.667943,-54.037929,-90.002779,-41.972429
95.295700,18.331978,126.525831,-54.982217,-90.002449,-38.111288
92.602232,19.562623,126.334536,-56.006744,-90.002131,-34.368833
89.983302,20.921180,126.095533,-57.112035,-90.001827,-30.758669
87.447878,22.406580,125.810300,-58.298609,-90.001540,-27.294400
85.004925,24.017749,125.480313,-59.566990,-90.001272,-23.989633
82.663411,25.753619,125.107050,-60.917698,-90.001025,-20.857971
80.433992,27.610595,124.692726,-62.349469,-90.000803,-17.914454
78.342205,29.562903,124.246061,-63.845308,-90.000606,-15.186728
76.421312,31.573241,123.779154,-65.380046,-90.000435,-12.708994
74.704644,33.604207,123.304133,-66.928447,-90.000289,-10.515507
73.225532,35.618401,122.833124,-68.465273,-90.000168,-8.640523
72.017305,37.578424,122.378257,-69.965287,-90.000073,-7.118296
71.113295,39.446874,121.951657,-71.403252,-90.000005,-5.983083
70.546255,41.186369,121.565395,-72.753890,-89.999962,-5.268466
70.288777,42.761438,121.225412,-73.987567,-89.999942,-4.937771
70.204506,44.145904,120.925644,-75.071686,-89.999935,-4.826918
70.191130,45.398864,120.650019,-76.048875,-89.999934,-4.808937
70.191093,46.572656,120.388030,-76.960664,-89.999934,-4.808805
70.191101,47.623940,120.146718,-77.770645,-89.999934,-4.808979
70.191085,48.551496,119.926105,-78.477584,-89.999934,-4.808910
70.191091,49.353835,119.726340,-79.080154,-89.999934,-4.808850
70.191113,50.032274,119.549253,-79.581506,-89.999934,-4.808834
70.191132,50.588738,119.397034,-79.985753,-89.999934,-4.808847
70.191129,51.025219,119.271854,-80.297055,-89.999934,-4.808878
70.191103,51.347378,119.174744,-80.522105,-89.999934,-4.808911
70.191076,51.566334,119.105045,-80.671362,-89.999934,-4.808933
70.191069,51.693650,119.061959,-80.755592,-89.999934,-4.808932
70.191099,51.742762,119.044025,-80.786770,-89.999934,-4.808899
70.191111,51.749284,119.041455,-80.790722,-89.999934,-4.808887
