j1,j2,j3,j4,j5,j6
171.155607,87.713166,75.293198,-73.006362,-90.000091,-173.844379
171.155638,87.640818,75.360526,-73.001338,-90.000091,-173.844424
171.155541,87.423186,75.563617,-72.986805,-90.000091,-173.844352
171.155218,87.059936,75.902889,-72.962862,-90.000092,-173.843786
171.155054,86.553971,76.372049,-72.926076,-90.000092,-173.843432
171.155502,85.908681,76.963792,-72.872484,-90.000091,-173.844160
171.156785,85.127845,77.670351,-72.798067,-90.000090,-173.846419
171.157784,84.217468,78.481261,-72.698491,-90.000089,-173.848217
171.156897,83.184357,79.385095,-72.569308,-90.000090,-173.846684
171.153564,82.035802,80.370017,-72.406036,-90.000093,-173.840809
171.155479,80.785566,81.419068,-72.204639,-90.000091,-173.844095
171.142933,79.443811,82.520732,-71.965909,-90.000103,-173.820471
171.111019,78.012016,83.672518,-71.689379,-90.000132,-173.765321
171.053491,76.491700,84.874174,-71.376338,-90.000180,-173.662963
170.960942,74.884802,86.126049,-71.029156,-90.000246,-173.487641
170.823797,73.193683,87.427936,-70.650040,-90.000331,-173.214541
170.630884,71.424771,88.774314,-70.239614,-90.000433,-172.827858
170.370144,69.586739,90.156717,-69.797629,-90.000548,-172.316769
170.029512,67.688288,91.566650,-69.323825,-90.000671,-171.670509
169.596920,65.738118,92.995615,-68.817944,-90.000800,-170.878309
169.060303,63.744926,94.435117,-68.279727,-90.000929,-169.929403
168.407592,61.717414,95.876660,-67.708913,-90.001054,-168.813023
167.626994,59.664252,97.311850,-67.105329,-90.001172,-167.518645
166.714088,57.593379,98.735123,-66.471107,-90.001281,-166.042361
165.672530,55.511929,100.144005,-65.810901,-90.001381,-164.387501
164.506384,53.426994,101.536181,-65.129495,-90.001471,-162.557764
163.219712,51.345667,102.909335,-64.431672,-90.001552,-160.556850
161.816581,49.275042,104.261151,-63.722215,-90.001624,-158.388455
160.301053,47.222211,105.589315,-63.005908,-90.001687,-156.056280
158.677194,45.194268,106.891509,-62.287535,-90.001741,-153.564023
156.949066,43.198304,108.165420,-61.571877,-90.001787,-150.915382
155.120735,41.241414,109.408730,-60.863720,-90.001824,-148.114057
153.196265,39.330690,110.619125,-60.167845,-90.001852,-145.163746
151.179719,37.473224,111.794289,-59.489037,-90.001872,-142.068147
149.075162,35.676111,112.931906,-58.832079,-90.001884,-138.830960
146.886659,33.946442,114.029661,-58.201754,-90.001888,-135.455883
144.618272,32.291311,115.085238,-57.602845,-90.001884,-131.946615
142.274067,30.717811,116.096321,-57.040136,-90.001871,-128.306854
139.858108,29.233035,117.060595,-56.518410,-90.001852,-124.540299
137.374459,27.844075,117.975744,-56.042450,-90.001824,-120.650649
134.827184,26.558024,118.839453,-55.617040,-90.001789,-116.641603
132.220346,25.381976,119.649405,-55.246962,-90.001746,-112.516859
129.558038,24.322992,120.403300,-54.936984,-90.001696,-108.280170
126.846274,23.385789,121.099852,-54.690570,-90.001640,-103.939272
124.094298,22.571164,121.739481,-54.509009,-90.001576,-99.508569
121.311658,21.879539,122.322767,-54.393385,-90.001508,-95.003096
118.507901,21.311338,122.850290,-54.344780,-90.001434,-90.437892
115.692577,20.866985,123.322631,-54.364276,-90.001356,-85.827993
112.875233,20.546901,123.740370,-54.452956,-90.001275,-81.188435
110.065418,20.351511,124.104088,-54.611902,-90.001190,-76.534257
107.272680,20.281236,124.414365,-54.842198,-90.001104,-71.880495
104.506567,20.336502,124.671781,-55.144925,-90.001016,-67.242186
101.776628,20.517729,124.876919,-55.521166,-90.000927,-62.634367
99.092412,20.825343,125.030356,-55.972005,-90.000839,-58.072075
96.463466,21.259765,125.132675,-56.498522,-90.000751,-53.570348
93.899338,21.821420,125.184456,-57.101802,-90.000664,-49.144221
91.409578,22.510729,125.186279,-57.782926,-90.000580,-44.808732
89.003733,23.328116,125.138725,-58.542977,-90.000498,-40.578919
86.691352,24.274005,125.042374,-59.383037,-90.000420,-36.469817
84.481983,25.348818,124.897806,-60.304190,-90.000346,-32.496465
82.385175,26.552979,124.705603,-61.307517,-90.000277,-28.673899
80.410475,27.886910,124.466344,-62.394102,-90.000213,-25.017156
78.567436,29.351017,124.180616,-63.565014,-90.000156,-21.541289
76.867301,30.936827,123.851701,-64.815129,-90.000105,-18.269693
75.325732,32.612671,123.489926,-66.123137,-90.000061,-15.247549
73.959104,34.343138,123.106756,-67.465118,-90.000024,-12.523554
72.783794,36.092818,122.713652,-68.817151,-89.999994,-10.146404
71.816176,37.826299,122.322081,-70.155317,-89.999970,-8.164796
71.072626,39.508172,121.943504,-71.455696,-89.999952,-6.627426
70.569520,41.103026,121.589386,-72.694367,-89.999941,-5.582990
70.308937,42.576185,121.269365,-73.846286,-89.999936,-5.047517
70.212570,43.897576,120.982736,-74.880488,-89.999934,-4.853348
70.191455,45.083744,120.720379,-75.804131,-89.999934,-4.810031
70.191143,46.205332,120.469228,-76.674536,-89.999934,-4.808605
70.191044,47.227027,120.235210,-77.462222,-89.999934,-4.809045
70.191028,48.142954,120.019389,-78.162327,-89.999934,-4.809016
70.191072,48.951357,119.821688,-78.773025,-89.999934,-4.808871
70.191127,49.651914,119.643184,-79.295078,-89.999934,-4.808795
70.191169,50.245335,119.485740,-79.731055,-89.999934,-4.808779
70.191178,50.732345,119.351229,-80.083557,-89.999934,-4.808812
70.191133,51.114163,119.241379,-80.355525,-89.999934,-4.808881
70.191059,51.396931,119.156419,-80.553333,-89.999934,-4.808959
70.191000,51.589641,119.095714,-80.685338,-89.999934,-4.809010
70.191001,51.701316,119.058622,-80.759921,-89.999934,-4.808999
70.191084,51.743611,119.043596,-80.787190,-89.999934,-4.808914
70.191111,51.749284,119.041455,-80.790722,-89.999934,-4.808887
