j1,j2,j3,j4,j5,j6
135.820784,94.348347,119.724200,-124.072531,-90.000023,60.820799
135.820710,94.290210,119.784255,-124.074441,-90.000024,60.820726
135.820808,94.116041,119.964172,-124.080175,-90.000025,60.820827
135.820588,93.826532,120.263255,-124.089768,-90.000023,60.820597
135.820030,93.430635,120.672295,-124.102958,-90.000018,60.820022
135.819605,92.944378,121.174788,-124.119221,-90.000015,60.819585
135.819801,92.384016,121.753996,-124.138026,-90.000019,60.819789
135.821102,91.765803,122.393178,-124.158841,-90.000035,60.821134
135.823440,91.105116,123.075814,-124.180529,-90.000064,60.823550
135.825397,90.415190,123.785913,-124.200478,-90.000088,60.825573
135.825353,89.708940,124.507564,-124.215855,-90.000090,60.825533
135.821686,88.999280,125.224854,-124.223826,-90.000053,60.821758
135.815320,88.297333,125.925515,-124.223175,-89.999984,60.815196
135.820295,87.598750,126.621857,-124.220609,-90.000022,60.820301
135.811796,86.886177,127.308333,-124.195581,-89.999908,60.811528
135.772066,86.151518,127.977519,-124.134092,-89.999477,60.770241
135.700092,85.394434,128.629082,-124.035657,-89.998708,60.695658
135.600440,84.617930,129.264994,-123.905356,-89.997589,60.593826
135.470961,83.821489,129.884519,-123.742281,-89.996082,60.463140
135.291120,82.994940,130.479507,-123.529103,-89.994079,60.281026
135.037303,82.126494,131.040565,-123.245742,-89.991458,60.021400
134.685897,81.204364,131.558299,-122.872121,-89.988100,59.658177
134.213288,80.216760,132.023317,-122.388162,-89.983882,59.165274
133.596096,79.152039,132.426315,-121.774000,-89.978687,58.516873
132.822092,78.005398,132.762226,-121.019970,-89.972491,57.699764
131.894821,76.781713,133.031976,-120.130840,-89.965408,56.718587
130.819024,75.486595,133.236946,-119.112470,-89.957562,55.579332
129.599441,74.125654,133.378518,-117.970721,-89.949076,54.287988
128.240813,72.704500,133.458074,-116.711454,-89.940075,52.850547
126.747881,71.228746,133.476994,-115.340530,-89.930682,51.272999
125.125387,69.704000,133.436659,-113.863808,-89.921021,49.561335
123.378069,68.135873,133.338451,-112.287151,-89.911216,47.721544
121.510671,66.529976,133.183751,-110.616419,-89.901391,45.759617
119.527931,64.891920,132.973940,-108.857473,-89.891668,43.681544
117.434592,63.227314,132.710400,-107.016172,-89.882174,41.493316
115.235394,61.541770,132.394511,-105.098379,-89.873030,39.200923
112.935078,59.840898,132.027655,-103.109954,-89.864361,36.810355
110.538384,58.130308,131.611213,-101.056758,-89.856290,34.327604
108.050053,56.415610,131.146567,-98.944650,-89.848943,31.758658
105.475027,54.702543,130.635160,-96.779677,-89.842442,29.109719
102.828630,53.003428,130.081706,-94.577400,-89.836949,26.397870
100.141423,51.340241,129.495715,-92.367348,-89.832678,23.656160
97.445177,49.735732,128.887078,-90.180162,-89.829847,20.918909
94.771667,48.212648,128.265687,-88.046481,-89.828675,18.220439
92.152664,46.793737,127.641434,-85.996945,-89.829380,15.595071
89.619942,45.501747,127.024211,-84.062197,-89.832181,13.077126
87.205274,44.359426,126.423909,-82.272875,-89.837296,10.700924
84.940178,43.389262,125.850337,-80.659330,-89.844937,8.500473
82.843480,42.600823,125.309220,-79.237469,-89.855038,6.494066
80.915685,41.985023,124.800382,-78.002346,-89.867125,4.677322
79.155871,41.531326,124.323189,-76.947392,-89.880695,3.044090
77.563114,41.229192,123.877005,-76.066037,-89.895243,1.588222
76.136492,41.068084,123.461197,-75.351711,-89.910266,0.303567
74.875082,41.037463,123.075129,-74.797846,-89.925260,-0.816023
73.777961,41.126792,122.718167,-74.397871,-89.939720,-1.776700
72.844149,41.325527,122.389672,-74.145186,-89.953145,-2.584643
72.069338,41.622861,122.088752,-74.031460,-89.965167,-3.247781
71.444169,42.007582,121.814131,-74.045730,-89.975619,-3.776706
70.958855,42.468444,121.564501,-74.176811,-89.984352,-4.182230
70.603612,42.994203,121.338554,-74.413518,-89.991218,-4.475166
70.368656,43.573612,121.134982,-74.744667,-89.996067,-4.666327
70.243098,44.194862,120.952343,-75.158086,-89.998783,-4.767350
70.197897,44.836950,120.786984,-75.625382,-89.999786,-4.803443
70.191103,45.481087,120.631715,-76.112789,-89.999934,-4.808895
70.191067,46.119950,120.479748,-76.599673,-89.999935,-4.808928
70.191217,46.747556,120.331194,-77.078745,-89.999933,-4.808789
70.191203,47.363041,120.185196,-77.548226,-89.999934,-4.808800
70.191141,47.965654,120.039979,-78.005611,-89.999935,-4.808855
70.191092,48.550469,119.896014,-78.446457,-89.999935,-4.808902
70.191059,49.108663,119.755874,-78.864510,-89.999935,-4.808935
70.191045,49.631260,119.622210,-79.253447,-89.999935,-4.808951
70.191051,50.109290,119.497676,-79.606947,-89.999934,-4.808947
70.191078,50.533846,119.384910,-79.918739,-89.999934,-4.808921
70.191123,50.898672,119.285994,-80.184651,-89.999934,-4.808878
70.191169,51.200932,119.202296,-80.403213,-89.999934,-4.808831
70.191203,51.438019,119.135135,-80.573138,-89.999934,-4.808797
70.191209,51.607325,119.085830,-80.693138,-89.999934,-4.808790
70.191173,51.706362,119.055672,-80.762017,-89.999934,-4.808826
70.191121,51.743905,119.043290,-80.787177,-89.999934,-4.808878
70.191111,51.749284,119.041455,-80.790722,-89.999934,-4.808888
