j1,j2,j3,j4,j5,j6
134.126693,85.686640,99.814185,-95.500818,-90.000057,149.126705
134.126458,85.657513,99.840139,-95.497647,-90.000057,149.126538
134.126581,85.570163,99.917951,-95.488111,-90.000057,149.126902
134.126698,85.424137,100.048403,-95.472532,-90.000057,149.126681
134.126397,85.219210,100.231902,-95.451085,-90.000054,149.124942
134.125871,84.956213,100.467090,-95.423251,-90.000051,149.122574
134.125450,84.636218,100.752206,-95.388355,-90.000049,149.120881
134.125464,84.260296,101.085490,-95.345721,-90.000049,149.121167
134.126244,83.829518,101.465183,-95.294673,-90.000054,149.124735
134.128047,83.345003,101.889431,-95.234488,-90.000065,149.132581
134.130339,82.808373,102.355383,-95.163913,-90.000078,149.142417
134.132112,82.221558,102.859588,-95.081381,-90.000088,149.149971
134.132352,81.586489,103.398585,-94.985318,-90.000090,149.150941
134.130044,80.905098,103.968912,-94.874151,-90.000076,149.141029
134.124313,80.179338,104.567060,-94.746285,-90.000043,149.116532
134.121802,79.412213,105.186923,-94.598909,-90.000026,149.105518
134.126702,78.607826,105.819902,-94.427724,-90.000050,149.126695
134.115573,77.768876,106.461232,-94.229676,-89.999988,149.082834
134.078349,76.895174,107.109559,-94.002994,-89.999811,148.949524
134.013997,75.987024,107.764561,-93.747682,-89.999523,148.720278
133.929817,75.047195,108.426474,-93.466704,-89.999117,148.373630
133.832219,74.078346,109.095411,-93.162802,-89.998591,147.888317
133.712256,73.080718,109.769589,-92.834542,-89.997958,147.250988
133.549653,72.052770,110.445831,-92.477411,-89.997244,146.454137
133.323866,70.992920,111.120922,-92.086824,-89.996477,145.490393
133.014352,69.899585,111.791652,-91.658196,-89.995684,144.352387
132.600569,68.771180,112.454809,-91.186940,-89.994892,143.032749
132.061974,67.606124,113.107180,-90.668472,-89.994127,141.524107
131.380782,66.403492,113.745802,-90.099092,-89.993415,139.820459
130.557365,65.166695,114.369347,-89.480934,-89.992761,137.924788
129.599438,63.900899,114.977147,-88.818490,-89.992165,135.843717
128.514737,62.611274,115.568540,-88.116259,-89.991627,133.583878
127.310999,61.302988,116.142860,-87.378742,-89.991145,131.151901
125.995958,59.981213,116.699442,-86.610436,-89.990720,128.554419
124.577350,58.651118,117.237623,-85.815842,-89.990350,125.798063
123.062913,57.317872,117.756736,-84.999458,-89.990036,122.889466
121.460381,55.986647,118.256119,-84.165784,-89.989775,119.835258
119.777490,54.662612,118.735106,-83.319319,-89.989569,116.642071
118.021976,53.350937,119.193032,-82.464563,-89.989416,113.316537
116.201576,52.056792,119.629234,-81.606014,-89.989316,109.865288
114.324024,50.785346,120.043046,-80.748172,-89.989267,106.294955
112.397057,49.541770,120.433804,-79.895537,-89.989271,102.612170
110.428411,48.331233,120.800843,-79.052606,-89.989325,98.823564
108.425822,47.158906,121.143499,-78.223880,-89.989429,94.935770
106.397025,46.029959,121.461107,-77.413859,-89.989583,90.955418
104.349756,44.949560,121.753003,-76.627040,-89.989786,86.889142
102.291751,43.922882,122.018521,-75.867924,-89.990037,82.743571
100.230839,42.954631,122.257191,-75.140736,-89.990336,78.526807
98.175207,42.047702,122.469298,-74.448624,-89.990677,74.252743
96.133135,41.204538,122.655318,-73.794472,-89.991057,69.936705
94.112903,40.427583,122.815725,-73.181160,-89.991471,65.594016
92.122787,39.719281,122.950993,-72.611570,-89.991914,61.240000
90.171068,39.082076,123.061597,-72.088586,-89.992382,56.889981
88.266025,38.518412,123.148012,-71.615089,-89.992869,52.559284
86.415934,38.030732,123.210711,-71.193960,-89.993371,48.263232
84.629077,37.621482,123.250170,-70.828083,-89.993883,44.017151
82.913731,37.293104,123.266862,-70.520339,-89.994402,39.836363
81.278175,37.048043,123.261263,-70.273610,-89.994921,35.736194
79.730688,36.888744,123.233847,-70.090779,-89.995436,31.731966
78.279548,36.817648,123.185088,-69.974727,-89.995943,27.839005
76.933035,36.837202,123.115461,-69.928337,-89.996437,24.072635
75.699427,36.949849,123.025439,-69.954490,-89.996913,20.448179
74.587003,37.158032,122.915499,-70.056069,-89.997367,16.980962
73.604042,37.464196,122.786114,-70.235956,-89.997793,13.686308
72.758822,37.870785,122.637758,-70.497033,-89.998188,10.579541
72.059598,38.380222,122.470911,-70.842166,-89.998546,7.676002
71.507274,38.988754,122.287153,-71.269156,-89.998864,4.996189
71.085027,39.677731,122.090730,-71.763601,-89.999141,2.573037
70.773417,40.426304,121.886280,-72.309295,-89.999377,0.441314
70.553006,41.213626,121.678440,-72.890032,-89.999571,-1.364209
70.404353,42.018847,121.471848,-73.489606,-89.999722,-2.808764
70.308021,42.821119,121.271142,-74.091810,-89.999831,-3.857579
70.244819,43.599774,121.080893,-74.680555,-89.999896,-4.478249
70.205712,44.341423,120.902996,-75.244413,-89.999925,-4.734078
70.192232,45.045840,120.735213,-75.781055,-89.999934,-4.803677
70.190965,45.730871,120.572266,-76.303118,-89.999934,-4.809337
70.191123,46.389819,120.414699,-76.804500,-89.999934,-4.808880
70.191295,47.017505,120.263570,-77.281058,-89.999934,-4.808563
70.191289,47.613419,120.118789,-77.732192,-89.999934,-4.808633
70.191212,48.176946,119.980176,-78.157105,-89.999934,-4.808818
70.191132,48.706699,119.847995,-78.554676,-89.999934,-4.808955
70.191062,49.200186,119.723149,-78.923317,-89.999934,-4.809038
70.191010,49.654832,119.606591,-79.261404,-89.999934,-4.809073
70.190983,50.068059,119.499274,-79.567315,-89.999934,-4.809066
70.190990,50.437290,119.402151,-79.839423,-89.999934,-4.809023
70.191036,50.760016,119.316157,-80.076155,-89.999934,-4.808950
70.191115,51.035319,119.241818,-80.277120,-89.999934,-4.808859
70.191205,51.263936,119.179233,-80.443151,-89.999934,-4.808768
70.191282,51.446676,119.128482,-80.575140,-89.999934,-4.808698
70.191323,51.584352,119.089645,-80.673979,-89.999934,-4.808666
70.191305,51.677774,119.062802,-80.740559,-89.999934,-4.808691
70.191213,51.728387,119.047861,-80.776231,-89.999934,-4.808787
70.191126,51.746685,119.042258,-80.788926,-89.999934,-4.808873
70.191111,51.749284,119.041455,-80.790722,-89.999934,-4.808888
