j1,j2,j3,j4,j5,j6
185.331507,85.458665,93.348209,-88.806877,-90.000091,-159.668485
185.331521,85.381573,93.416570,-88.798145,-90.000092,-159.668542
185.331396,85.149571,93.622871,-88.772449,-90.000091,-159.668496
185.330986,84.762375,93.967416,-88.729815,-90.000087,-159.668082
185.330808,84.223677,94.443408,-88.667120,-90.000085,-159.667829
185.331471,83.537728,95.043062,-88.580797,-90.000091,-159.668379
185.333197,82.709324,95.757936,-88.467190,-90.000107,-159.669994
185.334364,81.745847,96.576485,-88.322208,-90.000118,-159.671147
185.332806,80.655442,97.486245,-88.141631,-90.000104,-159.669781
185.328729,79.447114,98.473926,-87.921163,-90.000066,-159.666038
185.330767,78.137024,99.519827,-87.656875,-90.000083,-159.667624
185.310670,76.735194,100.612736,-87.348841,-89.999895,-159.647403
185.272444,75.243598,101.749138,-86.995693,-89.999465,-159.602754
185.196851,73.663266,102.929892,-86.599339,-89.998791,-159.523017
185.055738,71.995091,104.157084,-86.162800,-89.997862,-159.393643
184.822486,70.240518,105.431988,-85.688823,-89.996673,-159.200053
184.487074,68.406922,106.747143,-85.177182,-89.995252,-158.927326
184.049623,66.505301,108.089746,-84.625837,-89.993651,-158.560335
183.510400,64.546706,109.446917,-84.032719,-89.991921,-158.083949
182.869672,62.542188,110.805776,-83.395759,-89.990112,-157.483035
182.127706,60.502798,112.153445,-82.712892,-89.988277,-156.742464
181.284770,58.439588,113.477044,-81.982047,-89.986466,-155.847104
180.341130,56.363606,114.763697,-81.201161,-89.984731,-154.781829
179.297412,54.284668,116.003474,-80.369935,-89.983110,-153.536246
178.155234,52.209178,117.194585,-79.492957,-89.981608,-152.113029
176.916380,50.142958,118.336632,-78.575652,-89.980225,-150.517093
175.582637,48.091826,119.429217,-77.623444,-89.978958,-148.753349
174.155790,46.061605,120.471944,-76.641758,-89.977809,-146.826713
172.637627,44.058113,121.464415,-75.636018,-89.976775,-144.742098
171.029931,42.087173,122.406234,-74.611648,-89.975855,-142.504418
169.334491,40.154605,123.297003,-73.574074,-89.975049,-140.118586
167.553091,38.266228,124.136325,-72.528719,-89.974355,-137.589516
165.687517,36.427864,124.923803,-71.481007,-89.973773,-134.922122
163.739555,34.645333,125.659039,-70.436364,-89.973302,-132.121317
161.710992,32.924456,126.341637,-69.400215,-89.972941,-129.192014
159.603613,31.271052,126.971200,-68.377982,-89.972689,-126.139129
157.419205,29.690944,127.547329,-67.375091,-89.972544,-122.967574
155.159552,28.189950,128.069628,-66.396967,-89.972507,-119.682263
152.826442,26.773892,128.537701,-65.449033,-89.972575,-116.288109
150.421659,25.448591,128.951149,-64.536714,-89.972749,-112.790027
147.946991,24.219866,129.309575,-63.665436,-89.973026,-109.192930
